tss,chromosome,tss_pos,promoter,enhancer,e_count
NM_000775,chr1,60392470,chr1:60391470-60393470,chr1:60009140-60009290;chr1:60087129-60087147,2
NM_000778;NM_001319155;NR_134988;NR_134989;NR_134990;NR_134991;NR_134992;NR_134993;NR_134994,chr1,47407156,chr1:47406156-47408156,NA,0
NM_000779;NM_001099772;NM_001319161;NM_001319162;NM_001319163;NR_135003,chr1,47264669,chr1:47263669-47265669,NA,0
NM_000792;NM_001039715;NM_001039716;NM_001324316;NM_213593;NR_136692;NR_136693,chr1,54359859,chr1:54358859-54360859,NA,0
NM_000815,chr1,1950767,chr1:1949767-1951767,chr1:1840449-1840835;chr1:1952050-1952360,2
NM_000831,chr1,37499844,chr1:37498844-37500844,chr1:37169397-37169618;chr1:37784198-37784531,2
NM_000848;NM_001142368,chr1,110210643,chr1:110209643-110211643,chr1:110335775-110336041;chr1:110336950-110337403;chr1:110339466-110339959;chr1:110366477-110366702;chr1:110454846-110455290,5
NM_000849,chr1,110283660,chr1:110282660-110284660,chr1:109788948-109789150;chr1:109937534-109937767;chr1:110271520-110271826;chr1:110672728-110673048,4
NM_000850;NM_147148;NR_024538,chr1,110198697,chr1:110197697-110199697,NA,0
NM_000851,chr1,110254863,chr1:110253863-110255863,chr1:110537379-110537528;chr1:110672728-110673048,2
NM_000858;NM_001159390;NM_001242840,chr1,228327928,chr1:228326928-228328928,NA,0
NM_000862,chr1,120049825,chr1:120048825-120050825,chr1:120052717-120053071;chr1:120147764-120147961,2
NM_000864,chr1,23521222,chr1:23520222-23522222,chr1:23523350-23523682;chr1:23542417-23542518,2
NM_000871,chr1,19991779,chr1:19990779-19992779,chr1:20407516-20407737,1
NM_000906,chr1,153651163,chr1:153650163-153652163,chr1:153762591-153763309,1
NM_000911,chr1,29138653,chr1:29137653-29139653,chr1:29195388-29195583,1
NM_000929,chr1,20396700,chr1:20395700-20397700,NA,0
NM_000952;NM_001164723,chr1,28503455,chr1:28502455-28504455,chr1:28189568-28190269;chr1:28189568-28190269;chr1:28190756-28191157;chr1:28190756-28191157;chr1:28195628-28196024;chr1:28195628-28196024;chr1:28201800-28202156;chr1:28201800-28202156;chr1:28213825-28214033;chr1:28213825-28214033;chr1:28238886-28239222;chr1:28238886-28239222;chr1:28269913-28270209;chr1:28269913-28270209;chr1:28305616-28305920;chr1:28305616-28305920;chr1:28416909-28416983;chr1:28416909-28416983;chr1:28417819-28418026;chr1:28417819-28418026;chr1:28431716-28431884;chr1:28431716-28431884;chr1:28433172-28433306;chr1:28433172-28433306;chr1:28434285-28434594;chr1:28434285-28434594;chr1:28437098-28437429;chr1:28437098-28437429;chr1:28437697-28438098;chr1:28437697-28438098;chr1:28439074-28439949;chr1:28439074-28439949;chr1:28440576-28440976;chr1:28440576-28440976;chr1:28449970-28450467;chr1:28449970-28450467;chr1:28453663-28453991;chr1:28453663-28453991;chr1:28454216-28454379;chr1:28454216-28454379;chr1:28462161-28462385;chr1:28462161-28462385;chr1:28463413-28463582;chr1:28463413-28463582;chr1:28466458-28466562;chr1:28466458-28466562;chr1:28481060-28481439;chr1:28481060-28481439;chr1:28483198-28483592;chr1:28483198-28483592;chr1:28485616-28486049;chr1:28485616-28486049;chr1:28486078-28486440;chr1:28486078-28486440;chr1:28487509-28487671;chr1:28487509-28487671;chr1:28495580-28496044;chr1:28495580-28496044;chr1:28496557-28496804;chr1:28496557-28496804;chr1:28500052-28500411;chr1:28500052-28500411;chr1:28576012-28576248;chr1:28576012-28576248;chr1:28640564-28640739;chr1:28640564-28640739;chr1:28641770-28641993;chr1:28641770-28641993;chr1:28752190-28752435;chr1:28752190-28752435,70
NM_000959;NM_001039585,chr1,78956727,chr1:78955727-78957727,NA,0
NM_000963,chr1,186649559,chr1:186648559-186650559,chr1:186445429-186445441;chr1:186580348-186580617;chr1:186584580-186584711;chr1:186585602-186586032;chr1:186587444-186588060;chr1:186590040-186590634;chr1:186612873-186613046;chr1:186623829-186624230;chr1:186625019-186625399;chr1:186627866-186627981;chr1:186707372-186707639;chr1:186707805-186708434;chr1:186709575-186709742;chr1:186788311-186788564;chr1:186799738-186800031;chr1:186814656-186815200;chr1:186818021-186818219;chr1:186818504-186818763;chr1:186931037-186931090;chr1:186935248-186935528;chr1:186943840-186944382;chr1:186947742-186948198;chr1:186970666-186971051,23
NM_000969,chr1,93297542,chr1:93296542-93298542,chr1:93003662-93004045,1
NM_000975;NM_001199802,chr1,24018268,chr1:24017268-24019268,chr1:23912037-23912393;chr1:24063897-24064210;chr1:24235925-24236209;chr1:24237439-24237588,4
NM_000983,chr1,6259679,chr1:6258679-6260679,NA,0
NM_001001396;NM_001684,chr1,203595914,chr1:203594914-203596914,chr1:203481982-203482534,1
NM_001001523,chr1,151798553,chr1:151797553-151799553,chr1:151792678-151793001;chr1:151795693-151795913,2
NM_001001552;NM_001199050;NM_001199051;NM_001199052;NR_037583,chr1,205391214,chr1:205390214-205392214,NA,0
NM_001001653,chr1,43855483,chr1:43854483-43856483,NA,0
NM_001001734,chr1,160147200,chr1:160146200-160148200,chr1:160537909-160538272;chr1:160546217-160546501,2
NM_001001740;NM_022457,chr1,176176380,chr1:176175380-176177380,chr1:176174471-176174980,1
NM_001001821,chr1,248738058,chr1:248737058-248739058,NA,0
NM_001001824,chr1,248814185,chr1:248813185-248815185,NA,0
NM_001001827,chr1,248802559,chr1:248801559-248803559,NA,0
NM_001001914,chr1,247768887,chr1:247767887-247769887,chr1:247315116-247315371,1
NM_001001915,chr1,247751661,chr1:247750661-247752661,chr1:247315116-247315371;chr1:247714961-247715210;chr1:247715651-247715843;chr1:247720908-247721240;chr1:247721715-247721996,5
NM_001001918,chr1,248512076,chr1:248511076-248513076,NA,0
NM_001001933,chr1,75594118,chr1:75593118-75595118,NA,0
NM_001001957,chr1,248058888,chr1:248057888-248059888,chr1:248018586-248018745,1
NM_001001959,chr1,248005198,chr1:248004198-248006198,NA,0
NM_001001963,chr1,248112159,chr1:248111159-248113159,NA,0
NM_001001964,chr1,248790429,chr1:248789429-248791429,chr1:248634866-248635240,1
NM_001001966,chr1,247979031,chr1:247978031-247980031,NA,0
NM_001001998;NM_002685,chr1,11159967,chr1:11158967-11160967,NA,0
NM_001002273;NM_001002274;NM_001002275;NM_001190828;NM_004001,chr1,161632904,chr1:161631904-161633904,NA,0
NM_001002292;NM_001193334,chr1,68698229,chr1:68697229-68699229,NA,0
NM_001002294;NM_006894,chr1,171060017,chr1:171059017-171061017,chr1:170794960-170795269,1
NM_001002810;NM_001002812;NM_001198834;NM_014644,chr1,144995033,chr1:144994033-144996033,chr1:144986415-144987071;chr1:144988079-144988414,2
NM_001002811,chr1,144932365,chr1:144931365-144933365,chr1:144533627-144534178,1
NM_001002901,chr1,161691333,chr1:161690333-161692333,chr1:161320542-161320880;chr1:161329163-161329482;chr1:161356382-161356652;chr1:161706477-161706712,4
NM_001002912,chr1,75139422,chr1:75138422-75140422,NA,0
NM_001003665,chr1,226736500,chr1:226735500-226737500,chr1:226839418-226839818;chr1:226876730-226876990;chr1:226997737-226998213,3
NM_001003679;NM_001003680;NM_002303,chr1,65886334,chr1:65885334-65887334,chr1:65398951-65399446;chr1:65534990-65535126;chr1:65548895-65549334;chr1:65549780-65550082;chr1:65553179-65553575;chr1:65558428-65558742;chr1:65677177-65677293;chr1:65888047-65888596;chr1:66231335-66231771;chr1:66277656-66278058,10
NM_001003682,chr1,29450421,chr1:29449421-29451421,NA,0
NM_001004023;NM_003582,chr1,206808880,chr1:206807880-206809880,chr1:206531313-206531464;chr1:206641354-206641644;chr1:206748926-206749451;chr1:206754982-206755508;chr1:206832398-206832801;chr1:206918122-206918360;chr1:206926556-206926809;chr1:206961206-206961566;chr1:206966600-206966901;chr1:207025140-207025456;chr1:207032445-207032583;chr1:207032663-207032940;chr1:207063537-207063710,13
NM_001004128;NM_002826,chr1,180123967,chr1:180122967-180124967,NA,0
NM_001004136,chr1,248616098,chr1:248615098-248617098,NA,0
NM_001004303,chr1,57285369,chr1:57284369-57286369,chr1:57042744-57043185;chr1:57376305-57376674;chr1:57472428-57472552;chr1:57746875-57747249,4
NM_001004310,chr1,159772172,chr1:159771172-159773172,chr1:159880076-159880706;chr1:160202735-160202981,2
NM_001004319,chr1,156269428,chr1:156268428-156270428,NA,0
NM_001004339;NM_001307931,chr1,53308182,chr1:53307182-53309182,NA,0
NM_001004340;NM_001017986,chr1,120935944,chr1:120934944-120936944,chr1:120530218-120530524;chr1:120630637-120630819,2
NM_001004341,chr1,157069600,chr1:157068600-157070600,chr1:156781780-156782101,1
NM_001004342;NM_001300889,chr1,231298673,chr1:231297673-231299673,NA,0
NM_001004343,chr1,242162385,chr1:242161385-242163385,NA,0
NM_001004432,chr1,151777918,chr1:151776918-151778918,NA,0
NM_001004434;NM_032513,chr1,26372629,chr1:26371629-26373629,NA,0
NM_001004440;NM_182759,chr1,113263188,chr1:113262188-113264188,NA,0
NM_001004467,chr1,159284449,chr1:159283449-159285449,NA,0
NM_001004469,chr1,159505797,chr1:159504797-159506797,chr1:159111772-159112137;chr1:159142876-159143043;chr1:159652613-159652845;chr1:159794345-159794712;chr1:159829428-159829783,5
NM_001004472,chr1,158449667,chr1:158448667-158450667,chr1:158117571-158117948;chr1:158942717-158942925,2
NM_001004473,chr1,158435351,chr1:158434351-158436351,chr1:158370656-158370973;chr1:158659017-158659128,2
NM_001004475,chr1,158369256,chr1:158368256-158370256,chr1:157964633-157965029;chr1:158303678-158303861;chr1:158370656-158370973;chr1:158462836-158463187,4
NM_001004476,chr1,158390656,chr1:158389656-158391656,chr1:158303678-158303861,1
NM_001004477,chr1,158549689,chr1:158548689-158550689,chr1:158117571-158117948;chr1:158942717-158942925;chr1:158994687-158995148,3
NM_001004478,chr1,158576228,chr1:158575228-158577228,chr1:158659017-158659128;chr1:158942717-158942925;chr1:158994687-158995148,3
NM_001004491,chr1,248128633,chr1:248127633-248129633,NA,0
NM_001004492,chr1,247615284,chr1:247614284-247616284,NA,0
NM_001004686,chr1,248201473,chr1:248200473-248202473,NA,0
NM_001004687,chr1,248223983,chr1:248222983-248224983,chr1:248634866-248635240,1
NM_001004688,chr1,248343287,chr1:248342287-248344287,chr1:248634866-248635240,1
NM_001004689,chr1,248366369,chr1:248365369-248367369,chr1:248634866-248635240,1
NM_001004690,chr1,248308449,chr1:248307449-248309449,chr1:248634866-248635240,1
NM_001004691,chr1,248487870,chr1:248486870-248488870,chr1:248634866-248635240,1
NM_001004692,chr1,248458880,chr1:248457880-248459880,NA,0
NM_001004693,chr1,248757069,chr1:248756069-248758069,chr1:248634866-248635240,1
NM_001004694,chr1,248722792,chr1:248721792-248723792,NA,0
NM_001004695,chr1,248437116,chr1:248436116-248438116,chr1:248634866-248635240,1
NM_001004696,chr1,248524882,chr1:248523882-248525882,chr1:248634866-248635240,1
NM_001004697,chr1,248651889,chr1:248650889-248652889,NA,0
NM_001004698,chr1,247654369,chr1:247653369-247655369,NA,0
NM_001004734,chr1,248845605,chr1:248844605-248846605,chr1:248634866-248635240;chr1:249157308-249157673,2
NM_001005184,chr1,158724605,chr1:158723605-158725605,chr1:158303678-158303861,1
NM_001005185,chr1,158736472,chr1:158735472-158737472,chr1:158370656-158370973;chr1:158659017-158659128;chr1:158942717-158942925;chr1:158994687-158995148;chr1:159111772-159112137;chr1:159142876-159143043,6
NM_001005189,chr1,158517895,chr1:158516895-158518895,chr1:158303678-158303861,1
NM_001005214,chr1,165513477,chr1:165512477-165514477,NA,0
NM_001005221;NM_001005224;NM_001005277,chr1,367658,chr1:366658-368658;chr1:621034-623034,NA,0
NM_001005221;NM_001005224;NM_001005277,chr1,622034,chr1:366658-368658;chr1:621034-623034,NA,0
NM_001005221;NM_001005224;NM_001005277,chr1,180794287,chr1:366658-368658;chr1:621034-623034,NA,0
NM_001005278,chr1,158747425,chr1:158746425-158748425,chr1:158942717-158942925;chr1:158994687-158995148;chr1:159111772-159112137;chr1:159142876-159143043,4
NM_001005279,chr1,158670486,chr1:158669486-158671486,NA,0
NM_001005286,chr1,247876057,chr1:247875057-247877057,NA,0
NM_001005290;NM_001032291;NM_032636,chr1,109825790,chr1:109824790-109826790,chr1:109467804-109468470;chr1:109937534-109937767;chr1:110142749-110143055,3
NM_001005327,chr1,158687905,chr1:158686905-158688905,chr1:158370656-158370973;chr1:158659017-158659128;chr1:158942717-158942925;chr1:158994687-158995148;chr1:159111772-159112137;chr1:159142876-159143043,6
NM_001005353,chr1,65613512,chr1:65612512-65614512,NA,0
NM_001005388;NM_001005389;NM_001160332;NM_001160333;NM_015090,chr1,204797781,chr1:204796781-204798781,chr1:204800476-204800571;chr1:204902522-204902666;chr1:204976101-204976640;chr1:205016149-205016268;chr1:205017484-205017845;chr1:205216742-205217034,6
NM_001005417,chr1,44446176,chr1:44445176-44447176,chr1:44378405-44378587;chr1:44380893-44381202,2
NM_001005464;NM_021059,chr1,149812765,chr1:149811765-149813765;chr1:149823180-149825180,NA,0
NM_001005464;NM_021059,chr1,149824180,chr1:149811765-149813765;chr1:149823180-149825180,NA,0
NM_001005471,chr1,248550909,chr1:248549909-248551909,chr1:248634866-248635240,1
NM_001005484,chr1,69090,chr1:68090-70090,NA,0
NM_001005487,chr1,247836343,chr1:247835343-247837343,NA,0
NM_001005495,chr1,248636651,chr1:248635651-248637651,NA,0
NM_001005522,chr1,248084319,chr1:248083319-248085319,NA,0
NM_001005741;NM_001005742;NM_001171811,chr1,155214653,chr1:155213653-155215653,chr1:155484519-155484611,1
NM_001005752,chr1,35247910,chr1:35246910-35248910,NA,0
NM_001005783;NM_016527,chr1,119911398,chr1:119910398-119912398,NA,0
NM_001005855,chr1,154298035,chr1:154297035-154299035,NA,0
NM_001006605;NM_001252269;NM_001252270;NM_001252273,chr1,93427079,chr1:93426079-93428079,NA,0
NM_001006624;NM_001006625,chr1,13911966,chr1:13910966-13912966,chr1:13917058-13917313;chr1:13931629-13932064;chr1:13949833-13950153,3
NM_001006658;NM_001877,chr1,207627644,chr1:207626644-207628644,chr1:207585605-207585767;chr1:207598053-207598267;chr1:207609085-207609375,3
NM_001006665,chr1,26872342,chr1:26871342-26873342,chr1:26452850-26453250;chr1:26613887-26614371;chr1:26615527-26615997;chr1:26616270-26616483;chr1:26617206-26617304;chr1:26642014-26642169;chr1:26827232-26827869;chr1:26947342-26948198;chr1:27112764-27112917;chr1:27154485-27154771;chr1:27154983-27155478;chr1:27160002-27160387,12
NM_001006943;NM_020526,chr1,22889994,chr1:22888994-22890994,NA,0
NM_001006945;NM_018372,chr1,111506566,chr1:111505566-111507566,chr1:111170436-111170835;chr1:111171044-111171183;chr1:111177471-111177854;chr1:111182665-111183078;chr1:111188051-111188448;chr1:111189973-111190443;chr1:111191148-111191392;chr1:111230020-111230418;chr1:111249875-111250151;chr1:111251861-111252073;chr1:111255928-111256180;chr1:111262637-111262920;chr1:111265440-111265838;chr1:111417124-111417532;chr1:111735402-111735659;chr1:111735691-111736003,16
NM_001007022;NM_001184765;NM_001184766;NM_020729,chr1,86862025,chr1:86861025-86863025,chr1:86748500-86748571,1
NM_001007098;NM_001193599;NM_001193600;NM_001193617;NM_002979,chr1,53392900,chr1:53391900-53393900,chr1:53369161-53369511,1
NM_001007099;NM_001007100;NM_001007250,chr1,53480609,chr1:53479609-53481609,NA,0
NM_001007214,chr1,174968570,chr1:174967570-174969570,NA,0
NM_001007237,chr1,117210377,chr1:117209377-117211377,NA,0
NM_001007239;NM_014955;NM_015935,chr1,171750760,chr1:171749760-171751760,NA,0
NM_001007255;NM_152366,chr1,161068180,chr1:161067180-161069180,NA,0
NM_001007257,chr1,14075875,chr1:14074875-14076875,chr1:13917058-13917313;chr1:13931629-13932064;chr1:13949833-13950153;chr1:14027926-14028325;chr1:14029077-14029879;chr1:14054762-14055166,6
NM_001007544,chr1,206288647,chr1:206287647-206289647,chr1:206260548-206260903;chr1:206272966-206273628;chr1:206290243-206290662,3
NM_001007553;NM_001130523;NM_001242891;NM_001242892;NM_001242893;NM_007158,chr1,115300671,chr1:115299671-115301671,NA,0
NM_001007792,chr1,156785541,chr1:156784541-156786541,chr1:156781780-156782101,1
NM_001007794,chr1,111682004,chr1:111681004-111683004,chr1:111745467-111745610;chr1:111757482-111757860;chr1:111758440-111759106;chr1:111762260-111762740;chr1:111764327-111764759;chr1:112048437-112048734;chr1:112050044-112050594;chr1:112143517-112143622,8
NM_001008216,chr1,24127294,chr1:24126294-24128294,NA,0
NM_001008218,chr1,104198324,chr1:104197324-104199324;chr1:104237889-104239889;chr1:104291462-104293462,NA,0
NM_001008218,chr1,104238889,chr1:104197324-104199324;chr1:104237889-104239889;chr1:104291462-104293462,NA,0
