enhancer,tss,gene
chr1:109467804-109468470,NM_001408,CELSR2
chr1:109467804-109468470,NM_001048210;NM_015127,CLCC1
chr1:109467804-109468470,NM_013296,GPSM2
chr1:109467804-109468470,NM_001005290;NM_001032291;NM_032636,PSRC1
chr1:109467804-109468470,NM_001205228;NM_002959,SORT1
chr1:109467804-109468470,NM_001142550;NM_001142551;NM_014969,WDR47
chr1:109693905-109693990,NM_152763,AKNAD1
chr1:109788948-109789150,NM_000849,GSTM3
chr1:109800134-109800539,NM_152763,AKNAD1
chr1:109800134-109800539,NM_001122961,C1orf194
chr1:109841804-109842152,NM_002959,SORT1
chr1:109913179-109913623,NM_001205228,SORT1
chr1:109933790-109934137,NM_006496,GNAI3
chr1:109933790-109934137,NM_001205228;NM_002959,SORT1
chr1:109933790-109934137,NM_020141,TMEM167B
chr1:109937534-109937767,NM_001408,CELSR2
chr1:109937534-109937767,NM_000849,GSTM3
chr1:109937534-109937767,NM_001005290;NM_001032291;NM_032636,PSRC1
chr1:109937534-109937767,NM_001205228;NM_002959,SORT1
chr1:109937534-109937767,NM_001142550;NM_001142551;NM_014969,WDR47
chr1:109938897-109939079,NM_001205228;NM_002959,SORT1
chr1:109938897-109939079,NM_020141,TMEM167B
chr1:10997518-10997835,NM_001079843;NM_017766,CASZ1
chr1:110142749-110143055,NM_005272,GNAT2
chr1:110142749-110143055,NM_001005290;NM_001032291;NM_032636,PSRC1
chr1:110160052-110160461,NM_139156;NM_004037;NM_203404,AMPD2
chr1:110160052-110160461,NM_033088,FAM40A
chr1:110160052-110160461,NM_006496,GNAI3
chr1:110271520-110271826,NM_000849,GSTM3
chr1:110333273-110333688,NM_139156;NM_004037,AMPD2
chr1:110333273-110333688,NM_000757;NM_172210;NM_172212,CSF1
chr1:110333273-110333688,NM_006496,GNAI3
chr1:110335775-110336041,NM_000757;NM_172210;NM_172212,CSF1
chr1:110335775-110336041,NM_000848;NM_001142368,GSTM2
chr1:110336950-110337403,NM_000757;NM_172210;NM_172212,CSF1
chr1:110336950-110337403,NM_000848;NM_001142368,GSTM2
chr1:110339466-110339959,NM_000757;NM_172210;NM_172212,CSF1
chr1:110339466-110339959,NM_000848;NM_001142368,GSTM2
chr1:110358971-110359415,NM_139156,AMPD2
chr1:110358971-110359415,NM_006496,GNAI3
chr1:110363861-110364229,NM_139156,AMPD2
chr1:110363861-110364229,NM_006496,GNAI3
chr1:110364881-110365302,NM_139156,AMPD2
chr1:110364881-110365302,NM_000757;NM_172210;NM_172212,CSF1
chr1:110364881-110365302,NM_006496,GNAI3
chr1:110366477-110366702,NM_000757;NM_172210;NM_172212,CSF1
chr1:110366477-110366702,NM_000848;NM_001142368,GSTM2
chr1:110406868-110407271,NM_000757;NM_172210;NM_172212,CSF1
chr1:110406868-110407271,NM_006496,GNAI3
chr1:110418068-110418377,NM_002959,SORT1
chr1:110420039-110420145,NM_203412,UBL4B
chr1:110429456-110429734,NM_139156;NM_004037;NM_203404,AMPD2
chr1:110429456-110429734,NM_006496,GNAI3
chr1:110435112-110435421,NM_001205228;NM_002959,SORT1
chr1:110443259-110443410,NM_139156,AMPD2
chr1:110443259-110443410,NM_006496,GNAI3
chr1:110444415-110444738,NM_139156,AMPD2
chr1:110444415-110444738,NM_000757;NM_172210;NM_172212,CSF1
chr1:110444415-110444738,NM_006496,GNAI3
chr1:110447199-110447636,NM_006621,AHCYL1
chr1:110448900-110449220,NM_139156,AMPD2
chr1:110448900-110449220,NM_006496,GNAI3
chr1:110451717-110451917,NM_001134402;NM_001134400;NM_001134403;NM_001134404;NM_182580,CYB561D1
chr1:110454846-110455290,NM_000757;NM_172210;NM_172212,CSF1
chr1:110454846-110455290,NM_000848;NM_001142368,GSTM2
chr1:110537379-110537528,NM_006621,AHCYL1
chr1:110537379-110537528,NM_000851,GSTM5
chr1:110672728-110673048,NM_006621,AHCYL1
chr1:110672728-110673048,NM_000849,GSTM3
chr1:110672728-110673048,NM_000851,GSTM5
chr1:110672728-110673048,NM_004974,KCNA2
chr1:110672728-110673048,NM_001039574;NM_004978,KCNC4
chr1:110672728-110673048,NM_001010898,SLC6A17
chr1:110694968-110695154,NM_004974,KCNA2
chr1:110694968-110695154,NM_001010898,SLC6A17
chr1:110711375-110711549,NM_032414,PROK1
chr1:110711375-110711549,NM_203412,UBL4B
chr1:110879130-110879445,NM_000757;NM_172210;NM_172212,CSF1
chr1:110927812-110928210,NM_000560,CD53
chr1:110927812-110928210,NM_033088,FAM40A
chr1:110927812-110928210,NM_001201545;NM_022768,RBM15
chr1:110963862-110964269,NM_000560,CD53
chr1:110976504-110976901,NM_000560,CD53
chr1:111162611-111162919,NM_000560,CD53
chr1:111162611-111162919,NM_001204269,KCNA2
chr1:111162611-111162919,NM_002232,KCNA3
chr1:111162611-111162919,NM_001201545;NM_022768,RBM15
chr1:111163364-111163623,NM_032414,PROK1
chr1:111170436-111170835,NM_000560,CD53
chr1:111170436-111170835,NM_001006945;NM_018372,LRIF1
chr1:111171044-111171183,NM_000560,CD53
chr1:111171044-111171183,NM_001006945;NM_018372,LRIF1
chr1:111177471-111177854,NM_000560,CD53
chr1:111177471-111177854,NM_001006945;NM_018372,LRIF1
chr1:111178912-111179243,NM_001040033,CD53
chr1:111178912-111179243,NM_001201545;NM_022768,RBM15
chr1:111182665-111183078,NM_000560,CD53
chr1:111182665-111183078,NM_001006945;NM_018372,LRIF1
chr1:111188051-111188448,NM_000560,CD53
chr1:111188051-111188448,NM_001006945;NM_018372,LRIF1
chr1:111189973-111190443,NM_000560,CD53
chr1:111189973-111190443,NM_002232,KCNA3
chr1:111189973-111190443,NM_001006945;NM_018372,LRIF1
chr1:111191148-111191392,NM_000560,CD53
chr1:111191148-111191392,NM_002232,KCNA3
chr1:111191148-111191392,NM_001006945;NM_018372,LRIF1
chr1:111191728-111191821,NM_000560,CD53
chr1:111212876-111213052,NM_000560,CD53
chr1:111212876-111213052,NM_001204269,KCNA2
chr1:111212876-111213052,NM_002232,KCNA3
chr1:111212876-111213052,NM_001201545;NM_022768,RBM15
chr1:111230020-111230418,NM_000560,CD53
chr1:111230020-111230418,NM_001006945;NM_018372,LRIF1
chr1:111249875-111250151,NM_000560,CD53
chr1:111249875-111250151,NM_001006945;NM_018372,LRIF1
chr1:111251861-111252073,NM_000560,CD53
chr1:111251861-111252073,NM_001006945;NM_018372,LRIF1
chr1:111255928-111256180,NM_000560,CD53
chr1:111255928-111256180,NM_001006945;NM_018372,LRIF1
chr1:111262637-111262920,NM_000560,CD53
chr1:111262637-111262920,NM_001006945;NM_018372,LRIF1
chr1:111265440-111265838,NM_000560,CD53
chr1:111265440-111265838,NM_001006945;NM_018372,LRIF1
chr1:111329904-111330079,NM_001204269,KCNA2
chr1:111417124-111417532,NM_000560,CD53
chr1:111417124-111417532,NM_178454,DRAM2
chr1:111417124-111417532,NM_002232,KCNA3
chr1:111417124-111417532,NM_001006945;NM_018372,LRIF1
chr1:111467127-111467325,NM_000560,CD53
chr1:111467127-111467325,NM_024901,DENND2D
chr1:111467127-111467325,NM_001204269,KCNA2
chr1:111467127-111467325,NM_002232,KCNA3
chr1:111735402-111735659,NM_000560,CD53
chr1:111735402-111735659,NM_001006945;NM_018372,LRIF1
chr1:111735402-111735659,NM_001010935;NM_002884,RAP1A
chr1:111735691-111736003,NM_174896,C1orf162
chr1:111735691-111736003,NM_000560,CD53
chr1:111735691-111736003,NM_001006945;NM_018372,LRIF1
chr1:111735691-111736003,NM_001010935;NM_002884,RAP1A
chr1:111745467-111745610,NM_001040033,CD53
chr1:111745467-111745610,NM_001007794,CEPT1
chr1:111745467-111745610,NM_001025199,CHI3L2
chr1:111745467-111745610,NM_178454,DRAM2
chr1:111757482-111757860,NM_001007794,CEPT1
chr1:111757482-111757860,NM_024901,DENND2D
chr1:111758440-111759106,NM_001040033,CD53
chr1:111758440-111759106,NM_001007794,CEPT1
chr1:111758440-111759106,NM_001025199,CHI3L2
chr1:111758440-111759106,NM_024901,DENND2D
chr1:111758440-111759106,NM_001010935;NM_002884,RAP1A
chr1:111759901-111760085,NM_024901,DENND2D
chr1:111762260-111762740,NM_001040033,CD53
chr1:111762260-111762740,NM_001007794,CEPT1
chr1:111762260-111762740,NM_001025199,CHI3L2
chr1:111762260-111762740,NM_024901,DENND2D
chr1:111764327-111764759,NM_001040033;NM_000560,CD53
chr1:111764327-111764759,NM_001007794;NM_006090,CEPT1
chr1:111764327-111764759,NM_001025199,CHI3L2
chr1:111764327-111764759,NM_024901,DENND2D
chr1:111764327-111764759,NM_001010935;NM_002884,RAP1A
chr1:112013331-112014031,NM_174896,C1orf162
chr1:112013331-112014031,NM_019099;NM_198926,C1orf183
chr1:112013331-112014031,NM_001010935;NM_002884,RAP1A
chr1:112048437-112048734,NM_174896,C1orf162
chr1:112048437-112048734,NM_198926,C1orf183
chr1:112048437-112048734,NM_001007794,CEPT1
chr1:112048437-112048734,NM_178454,DRAM2
chr1:112048437-112048734,NM_001010935;NM_002884,RAP1A
chr1:112050044-112050594,NM_000677;NM_020683,ADORA3
chr1:112050044-112050594,NM_174896,C1orf162
chr1:112050044-112050594,NM_019099;NM_198926,C1orf183
chr1:112050044-112050594,NM_001007794,CEPT1
chr1:112050044-112050594,NM_178454,DRAM2
chr1:112050044-112050594,NM_001010935;NM_002884,RAP1A
chr1:112058341-112058601,NM_000677;NM_020683,ADORA3
chr1:112058341-112058601,NM_174896,C1orf162
chr1:112058341-112058601,NM_001010935;NM_002884,RAP1A
chr1:112058803-112059167,NM_000677;NM_020683,ADORA3
chr1:112058803-112059167,NM_174896,C1orf162
chr1:112058803-112059167,NM_019099;NM_198926,C1orf183
chr1:112058803-112059167,NM_001010935;NM_002884,RAP1A
chr1:112135698-112135869,NM_198926,C1orf183
chr1:112135698-112135869,NM_024901,DENND2D
chr1:112135698-112135869,NM_001010935;NM_002884,RAP1A
chr1:112143517-112143622,NM_001007794,CEPT1
chr1:112143517-112143622,NM_001025199,CHI3L2
chr1:112163826-112164071,NM_174896,C1orf162
chr1:112163826-112164071,NM_019099;NM_198926,C1orf183
chr1:112163826-112164071,NM_001010935;NM_002884,RAP1A
chr1:112196411-112196803,NM_019099,C1orf183
chr1:112196411-112196803,NM_001010935;NM_002884,RAP1A
chr1:112276731-112276883,NM_174896,C1orf162
chr1:112276731-112276883,NM_019099;NM_198926,C1orf183
chr1:112276731-112276883,NM_001010935;NM_002884,RAP1A
chr1:112286281-112286588,NM_019099;NM_198926,C1orf183
chr1:112291453-112291811,NM_198926,C1orf183
chr1:11236551-11236761,NM_021146,ANGPTL7
chr1:112387705-112387905,NM_004980;NM_172198,KCND3
chr1:1124600-1124942,NM_001142467;NM_021170,HES4
chr1:112942216-112942335,NM_018704,CTTNBP2NL
chr1:113013577-113014004,NM_006135,CAPZA1
chr1:113014906-113015158,NM_006135,CAPZA1
chr1:113046545-113046667,NM_004185,WNT2B
chr1:113369203-113369427,NM_001166496;NM_003051,SLC16A1
chr1:1136075-1136463,NM_001142467;NM_021170,HES4
chr1:1136075-1136463,NM_005101,ISG15
chr1:1136667-1137146,NM_001142467;NM_021170,HES4
chr1:1136667-1137146,NM_001170686;NM_001170687;NM_001170688;NM_080875,MIB2
chr1:11392847-11393171,NM_198545,C1orf187
chr1:11392847-11393171,NM_001127325,MAD2L2
chr1:11392847-11393171,NM_020780,PTCHD2
chr1:114236415-114236760,NM_001142782;NM_152900,MAGI3
chr1:114326143-114326379,NM_006594,AP4B1
chr1:114326143-114326379,NM_152696;NM_198268;NM_198269;NM_181358,HIPK1
chr1:114326143-114326379,NM_006608,PHTF1
chr1:114326143-114326379,NM_001193431;NM_012411;NM_015967,PTPN22
chr1:114326143-114326379,NM_018364,RSBN1
chr1:1143531-1144198,NM_001145210,LOC441869
chr1:1143531-1144198,NM_001170686;NM_001170687;NM_001170688;NM_080875,MIB2
chr1:1143531-1144198,NM_004195;NM_148901;NM_148902,TNFRSF18
chr1:1143531-1144198,NM_003327,TNFRSF4
chr1:114373858-114374002,NM_181358,HIPK1
chr1:114373858-114374002,NM_006608,PHTF1
chr1:114373858-114374002,NM_018364,RSBN1
chr1:114477404-114477721,NM_152696;NM_198268;NM_198269;NM_181358,HIPK1
chr1:114477404-114477721,NM_018364,RSBN1
chr1:114656563-114656717,NM_152696;NM_198268,HIPK1
chr1:115025085-115025405,NM_005872,BCAS2
chr1:115025085-115025405,NM_015906;NM_033020,TRIM33
chr1:115052481-115052766,NM_005872,BCAS2
chr1:115052481-115052766,NM_015906;NM_033020,TRIM33
chr1:115605190-115605611,NM_005872,BCAS2
chr1:115605190-115605611,NM_001102396;NM_025073,SIKE1
chr1:115605746-115606114,NM_005872,BCAS2
chr1:115713702-115714032,NM_002506,NGF
chr1:115722074-115722498,NM_002506,NGF
chr1:115732772-115733197,NM_002506,NGF
chr1:115873164-115873576,NM_002506,NGF
chr1:116291091-116291334,NM_001232,CASQ2
chr1:116370977-116371565,NM_018420,SLC22A15
chr1:116878887-116879201,NM_000701,ATP1A1
chr1:116918925-116919548,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:116918925-116919548,NM_001144822;NM_001779,CD58
chr1:116918925-116919548,NM_018420,SLC22A15
chr1:116920378-116921129,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:116920378-116921129,NM_001144822;NM_001779,CD58
chr1:116920378-116921129,NM_018420,SLC22A15
chr1:116923407-116923493,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:116923407-116923493,NM_001144822;NM_001779,CD58
chr1:116923407-116923493,NM_018420,SLC22A15
chr1:117017908-117018073,NM_001160234,ATP1A1
chr1:117030831-117031034,NM_000701;NM_001160233,ATP1A1
chr1:117032033-117032296,NM_000701;NM_001160233,ATP1A1
chr1:117032033-117032296,NM_001144822;NM_001779,CD58
chr1:117040346-117040781,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117040346-117040781,NM_001144822;NM_001779,CD58
chr1:117046366-117046546,NM_001160233;NM_001160234,ATP1A1
chr1:117046366-117046546,NM_004258,CD101
chr1:117046366-117046546,NM_001144822;NM_001779,CD58
chr1:117047053-117047428,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117047053-117047428,NM_004258,CD101
chr1:117047053-117047428,NM_001144822;NM_001779,CD58
chr1:117050808-117051139,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117050808-117051139,NM_004258,CD101
chr1:117050808-117051139,NM_001144822;NM_001779,CD58
chr1:117051576-117051921,NM_001160233;NM_001160234,ATP1A1
chr1:117051576-117051921,NM_004258,CD101
chr1:117051576-117051921,NM_001144822;NM_001779,CD58
chr1:117080047-117080432,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117080047-117080432,NM_004258,CD101
chr1:117080047-117080432,NM_001144822;NM_001779,CD58
chr1:117081238-117081452,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117081238-117081452,NM_004258,CD101
chr1:117081238-117081452,NM_001144822;NM_001779,CD58
chr1:117082797-117083071,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117082797-117083071,NM_004258,CD101
chr1:117082797-117083071,NM_001144822;NM_001779,CD58
chr1:117100772-117101124,NM_001160233;NM_001160234,ATP1A1
chr1:117100772-117101124,NM_004258,CD101
chr1:117100772-117101124,NM_001144822;NM_001779,CD58
chr1:117111804-117112156,NM_001160233;NM_001160234,ATP1A1
chr1:117111804-117112156,NM_004258,CD101
chr1:117111804-117112156,NM_001144822;NM_001779,CD58
chr1:117111804-117112156,NM_003594,TTF2
chr1:117129425-117129671,NM_001144822;NM_001779,CD58
chr1:117129425-117129671,NM_003594,TTF2
chr1:117130518-117130699,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117130518-117130699,NM_004258,CD101
chr1:117130518-117130699,NM_001144822;NM_001779,CD58
chr1:117132073-117132239,NM_000701;NM_001160233;NM_001160234,ATP1A1
chr1:117132073-117132239,NM_004258,CD101
chr1:117132073-117132239,NM_001144822;NM_001779,CD58
chr1:117169735-117170114,NM_000701,ATP1A1
chr1:117280613-117280924,NM_001160234,ATP1A1
chr1:117280613-117280924,NM_001767,CD2
chr1:117281390-117281752,NM_001160234,ATP1A1
chr1:117281390-117281752,NM_001767,CD2
chr1:117281390-117281752,NM_003594,TTF2
chr1:117305811-117306472,NM_001160234,ATP1A1
chr1:117305811-117306472,NM_001767,CD2
chr1:117313335-117313579,NM_001767,CD2
chr1:117313335-117313579,NM_003594,TTF2
chr1:1173386-1173736,NM_001160184;NM_032129,PLEKHN1
chr1:117347522-117347641,NM_001767,CD2
chr1:117359174-117359463,NM_001767,CD2
chr1:117359174-117359463,NM_003594,TTF2
chr1:117421623-117422020,NM_003594,TTF2
chr1:117424835-117425013,NM_020440,PTGFRN
chr1:11753086-11753651,NM_001286,CLCN6
chr1:11753086-11753651,NM_005957,MTHFR
chr1:11753086-11753651,NM_001066,TNFRSF1B
chr1:117533270-117533527,NM_004258,CD101
chr1:117533270-117533527,NM_001144822;NM_001779,CD58
chr1:11761755-11762049,NM_198545,C1orf187
chr1:11761755-11762049,NM_183412;NM_001014765;NM_033182;NM_183413,FBXO44
chr1:11761755-11762049,NM_001127325,MAD2L2
chr1:11761755-11762049,NM_020780,PTCHD2
chr1:117619913-117620299,NM_004258,CD101
chr1:11798209-11798600,NM_001040194;NM_001040195;NM_001040196;NM_001040197;NM_020350,AGTRAP
chr1:11798209-11798600,NM_001286,CLCN6
chr1:11798209-11798600,NM_018438,FBXO6
chr1:11798209-11798600,NM_001127660;NM_014874,MFN2
chr1:11798209-11798600,NM_005957,MTHFR
chr1:11798209-11798600,NM_001066,TNFRSF1B
chr1:11798918-11799121,NM_001040194;NM_001040195;NM_001040196;NM_001040197;NM_020350,AGTRAP
chr1:11798918-11799121,NM_001286,CLCN6
chr1:11798918-11799121,NM_018438,FBXO6
chr1:11798918-11799121,NM_001127660;NM_014874,MFN2
chr1:11798918-11799121,NM_005957,MTHFR
chr1:11798918-11799121,NM_001066,TNFRSF1B
chr1:118153815-118153988,NM_017709,FAM46C
chr1:118194205-118194506,NM_006699,MAN1A2
chr1:118197244-118197521,NM_017709,FAM46C
chr1:118197244-118197521,NM_001135589;NM_017686,GDAP2
chr1:118197244-118197521,NM_006699,MAN1A2
chr1:118198788-118199247,NM_017709,FAM46C
chr1:118198788-118199247,NM_001135589;NM_017686,GDAP2
chr1:118198788-118199247,NM_006699,MAN1A2
chr1:118201472-118201699,NM_006699,MAN1A2
chr1:118203607-118204114,NM_006699,MAN1A2
chr1:118206889-118207267,NM_006699,MAN1A2
chr1:118208639-118208762,NM_006699,MAN1A2
chr1:11942925-11943217,NM_001127660;NM_014874,MFN2
chr1:11942925-11943217,NM_002521,NPPB
chr1:119668351-119668628,NM_015836;NM_201263,WARS2
chr1:11968510-11969143,NM_001286,CLCN6
chr1:11968510-11969143,NM_021933,MIIP
chr1:11968510-11969143,NM_005957,MTHFR
chr1:11968510-11969143,NM_015378;NM_018156,VPS13D
chr1:11990003-11990329,NM_000302,PLOD1
chr1:120052717-120053071,NM_000862,HSD3B1
chr1:120147764-120147961,NM_000862,HSD3B1
chr1:120180868-120181132,NM_001047980,NBPF7
chr1:120180868-120181132,NM_001080470,ZNF697
chr1:120255895-120256325,NM_021794,ADAM30
chr1:120275491-120275880,NM_021794,ADAM30
chr1:12046023-12046196,NM_001040194;NM_001040195;NM_001040196;NM_001040197;NM_020350,AGTRAP
chr1:12046023-12046196,NM_001286,CLCN6
chr1:12046023-12046196,NM_018438,FBXO6
chr1:12046023-12046196,NM_001127660;NM_014874,MFN2
chr1:12046023-12046196,NM_005957,MTHFR
chr1:12046023-12046196,NM_001066,TNFRSF1B
chr1:12050736-12051137,NM_001127660;NM_014874,MFN2
chr1:12050736-12051137,NM_006172,NPPA
chr1:12050736-12051137,NM_002521,NPPB
chr1:120525502-120525838,NM_001047980,NBPF7
chr1:120525502-120525838,NM_001200001;NM_024408,NOTCH2
chr1:120525502-120525838,NM_001080470,ZNF697
chr1:120530218-120530524,NM_001004340;NM_001017986,FCGR1B
chr1:120530218-120530524,NM_001200001;NM_024408,NOTCH2
chr1:120530218-120530524,NM_001080470,ZNF697
chr1:120530787-120531205,NM_001200001;NM_024408,NOTCH2
chr1:120530787-120531205,NM_001080470,ZNF697
chr1:120607153-120607333,NM_001200001;NM_024408,NOTCH2
chr1:120607153-120607333,NM_001080470,ZNF697
chr1:120608824-120609208,NM_001200001;NM_024408,NOTCH2
chr1:120630637-120630819,NM_001004340;NM_001017986,FCGR1B
chr1:120630637-120630819,NM_001200001;NM_024408,NOTCH2
chr1:120630637-120630819,NM_001080470,ZNF697
chr1:120686768-120686908,NM_001200001;NM_024408,NOTCH2
chr1:120686768-120686908,NM_001080470,ZNF697
chr1:120692453-120692808,NM_001047980,NBPF7
chr1:120692453-120692808,NM_001200001;NM_024408,NOTCH2
chr1:120760883-120761040,NM_001200001;NM_024408,NOTCH2
chr1:12112067-12112502,NM_021933,MIIP
chr1:12112067-12112502,NM_001243,TNFRSF8
chr1:12114385-12114572,NM_021933,MIIP
chr1:12114385-12114572,NM_001243,TNFRSF8
chr1:12124472-12125118,NM_021933,MIIP
chr1:12124472-12125118,NM_001243,TNFRSF8
chr1:12126084-12126429,NM_021933,MIIP
chr1:12126084-12126429,NM_001243,TNFRSF8
chr1:12127865-12128182,NM_021933,MIIP
chr1:12127865-12128182,NM_001243,TNFRSF8
chr1:12193120-12193399,NM_001040194;NM_001040195;NM_001040196;NM_001040197;NM_020350,AGTRAP
chr1:12193120-12193399,NM_001286,CLCN6
chr1:12193120-12193399,NM_005957,MTHFR
chr1:12193120-12193399,NM_001066,TNFRSF1B
