chromosome,start,end,count,gene
chr1,10508775,10510775,1,CORT
chr1,10534002,10536002,1,PEX14
chr1,11041094,11043094,1,C1orf127
chr1,11106296,11108296,1,MASP2
chr1,11119091,11121091,1,SRM
chr1,11248345,11250345,1,ANGPTL7
chr1,11321608,11323608,2,MTOR
chr1,11723149,11725149,1,FBXO6
chr1,11821249,11823249,1,C1orf167
chr1,11917992,11919992,2,NPPB
chr1,11985485,11987485,1,KIAA2013
chr1,11993723,11995723,1,PLOD1
chr1,12039237,12041237,1,MFN2
chr1,12122433,12124433,1,TNFRSF8
chr1,12226059,12228059,1,TNFRSF1B
chr1,12675788,12677788,1,DHRS3
chr1,12805133,12807133,1,C1orf158
chr1,12833990,12835990,1,PRAMEF12
chr1,12890264,12892264,4,PRAMEF11
chr1,12915940,12917940,5,PRAMEF2
chr1,13839242,13841242,1,LRRC38
chr1,13909251,13911251,3,PDPN
chr1,13910966,13912966,3,PDPN
chr1,14030349,14032349,2,PRDM2
chr1,14074875,14076875,1,PRDM2
chr1,15271414,15273414,2,KAZN
chr1,15497120,15499120,1,C1orf195
chr1,15763937,15765937,1,CTRC
chr1,15782222,15784222,5,CELA2A
chr1,15850285,15852285,1,CASP9
chr1,15852307,15854307,1,DNAJC16
chr1,15910605,15912605,3,AGMAT
chr1,15985207,15987207,1,RSC1A1
chr1,16009797,16011797,1,PLEKHM2
chr1,16133194,16135194,2,UQCRHL
chr1,16173358,16175358,1,SPEN
chr1,16301627,16303627,1,ZBTB17
chr1,16345089,16347089,1,HSPB7
chr1,16347485,16349485,1,CLCNKA
chr1,16369230,16371230,1,CLCNKB
chr1,16399127,16401127,1,FAM131C
chr1,16481604,16483604,3,EPHA2
chr1,16762919,16764919,3,SPATA21
chr1,16939100,16941100,7,NBPF1
chr1,17089975,17091975,5,MST1L
chr1,17247444,17249444,1,CROCC
chr1,17307081,17309081,2,MFAP2
chr1,17337467,17339467,1,ATP13A2
chr1,17379665,17381665,1,SDHB
chr1,17574592,17576592,1,PADI3
chr1,17633689,17635689,2,PADI4
chr1,17697690,17699690,1,PADI6
chr1,17764059,17766059,1,RCC2
chr1,17906047,17908047,1,ARHGEF10L
chr1,18080807,18082807,2,ACTL8
chr1,18433239,18435239,2,IGSF21
chr1,18806423,18808423,2,KLHDC7A
chr1,19185155,19187155,1,TAS1R2
chr1,19216385,19218385,2,ALDH4A1
chr1,19535746,19537746,1,UBR4
chr1,19922470,19924470,2,MICOS10
chr1,19922470,19924470,2,MICOS10-NBL1
chr1,20125514,20127514,1,TMCO4
chr1,20140771,20142771,2,RNF186
chr1,20395700,20397700,2,PLA2G5
chr1,20502857,20504857,1,PLA2G2C
chr1,20616411,20618411,1,VWA5B1
chr1,21043510,21045510,1,KIF17
chr1,21058133,21060133,1,SH2D5
chr1,21436876,21438876,1,EIF4G3
chr1,21994873,21996873,1,RAP1GAP
chr1,22108692,22110692,2,USP48
chr1,22302386,22304386,1,CELA3B
chr1,22327148,22329148,2,CELA3A
chr1,22378119,22380119,3,CDC42
chr1,22777343,22779343,2,ZBTB40
chr1,22961998,22963998,1,C1QA
chr1,22978473,22980473,1,C1QB
chr1,23290923,23292923,3,LACTBL1
chr1,23341343,23343343,1,TEX46
chr1,23344940,23346940,2,KDM1A
chr1,23520222,23522222,1,HTR1D
chr1,23856712,23858712,1,E2F2
chr1,23885285,23887285,1,ID3
chr1,23952823,23954823,1,MDS2
chr1,24017268,24019268,2,RPL11
chr1,24068855,24070855,1,ELOA
chr1,24103875,24105875,2,PITHD1
chr1,24126034,24128034,1,GALE
chr1,24150949,24152949,2,HMGCL
chr1,24193859,24195859,1,FUCA1
chr1,24512765,24514765,1,IFNLR1
chr1,24645055,24647055,3,GRHL3
chr1,24648529,24650529,3,GRHL3
chr1,24738976,24740976,3,NIPAL3
chr1,24739262,24741262,3,STPG1
chr1,24740587,24742587,1,STPG1
chr1,24741244,24743244,2,NIPAL3
chr1,24828386,24830386,1,RCAN3
chr1,24968593,24970593,1,SRRM1
chr1,25290501,25292501,1,RUNX3
chr1,25558013,25560013,2,SYF2
chr1,25597976,25599976,1,RHD
chr1,26145396,26147396,1,MTFR1L
chr1,26184949,26186949,3,AUNIP
chr1,26231993,26233993,1,STMN1
chr1,26323648,26325648,3,PAFAH2
chr1,26371629,26373629,1,SLC30A2
chr1,26484510,26486510,1,FAM110D
chr1,26516118,26518118,3,CATSPER4
chr1,26559643,26561643,2,CEP85
chr1,26605212,26607212,2,SH3BGRL3
chr1,26632195,26634195,1,UBXN11
chr1,26643410,26645410,1,CD52
chr1,26643756,26645756,1,UBXN11
chr1,26679621,26681621,1,CRYBG2
chr1,26698285,26700285,3,ZNF683
chr1,26757772,26759772,1,DHDDS
chr1,26855248,26857248,1,RPS6KA1
chr1,27225962,27227962,1,GPATCH3
chr1,27239567,27241567,4,NR0B2
chr1,27285901,27287901,1,KDF1
chr1,27338333,27340333,1,TENT5B
chr1,27480621,27482621,1,SLC9A1
chr1,27647635,27649635,2,TMEM222
chr1,27667482,27669482,1,SYTL1
chr1,27700343,27702343,2,FCN3
chr1,27952106,27954106,1,FGR
chr1,27997724,27999724,1,IFI6
chr1,28051489,28053489,1,FAM76A
chr1,28098693,28100693,1,STX12
chr1,28198053,28200053,1,THEMIS2
chr1,28260465,28262465,1,SMPDL3B
chr1,28414148,28416148,2,EYA3
chr1,28502455,28504455,1,PTAFR
chr1,28558542,28560542,2,DNAJC8
chr1,28584962,28586962,1,SESN2
chr1,28654512,28656512,2,MED18
chr1,28695064,28697064,1,PHACTR4
chr1,28843744,28845744,3,RCC1
chr1,28878528,28880528,1,TRNAU1AP
chr1,28917711,28919711,1,RAB42
chr1,28918006,28920006,1,RAB42
chr1,29062135,29064135,1,YTHDF2
chr1,29137653,29139653,2,OPRD1
chr1,29507637,29509637,2,SRSF4
chr1,29562027,29564027,1,PTPRU
chr1,31195432,31197432,1,MATN1
chr1,31229683,31231683,2,LAPTM5
chr1,31537564,31539564,3,PUM1
chr1,31768644,31770644,2,SNRNP40
chr1,31768828,31770828,3,ZCCHC17
chr1,31845135,31847135,3,FABP3
chr1,31882020,31884020,1,SERINC2
chr1,32168768,32170768,1,COL16A1
chr1,32228664,32230664,1,ADGRB2
chr1,32402988,32404988,1,PTP4A2
chr1,32572643,32574643,1,KPNA6
chr1,32664986,32666986,1,CCDC28B
chr1,32673694,32675694,1,DCDC2B
chr1,32686972,32688972,1,TMEM234
chr1,32738711,32740711,2,LCK
chr1,32756707,32758707,1,HDAC1
chr1,32800840,32802840,1,MARCKSL1
chr1,32859062,32861062,1,BSDC1
chr1,33115191,33117191,1,ZBTB8OS
chr1,33115748,33117748,1,RBBP4
chr1,33167361,33169361,1,SYNC
chr1,33282042,33284042,4,S100PBP
chr1,33282118,33284118,4,S100PBP
chr1,33282633,33284633,3,YARS1
chr1,33335414,33337414,1,FNDC5
chr1,33351097,33353097,1,HPCA
chr1,33366041,33368041,1,TMEM54
chr1,33429414,33431414,2,RNF19B
chr1,33501512,33503512,2,AK2
chr1,33545713,33547713,1,AZIN2
chr1,33641151,33643151,1,TRIM62
chr1,33785699,33787699,1,A3GALT2
chr1,34325075,34327075,2,HMGB4
chr1,34631483,34633483,1,C1orf94
chr1,34641552,34643552,2,C1orf94
chr1,35224341,35226341,2,GJB4
chr1,35245789,35247789,1,GJB3
chr1,35246910,35248910,3,GJB3
chr1,35257598,35259598,1,GJA4
chr1,35323646,35325646,1,SMIM12
chr1,35324417,35326417,1,SMIM12
chr1,35394186,35396186,1,DLGAP3
chr1,35496569,35498569,2,ZMYM6
chr1,35524386,35526386,1,ZMYM1
chr1,35543963,35545963,1,ZMYM1
chr1,35733567,35735567,1,ZMYM4
chr1,36022037,36024037,1,KIAA0319L
chr1,36022392,36024392,1,NCDN
chr1,36181512,36183512,1,C1orf216
chr1,36272827,36274827,1,AGO4
chr1,36347795,36349795,1,AGO1
chr1,36395682,36397682,1,AGO3
chr1,36548675,36550675,3,TEKT2
chr1,36589685,36591685,1,COL8A2
chr1,36614115,36616115,1,TRAPPC3
chr1,36689012,36691012,1,THRAP3
chr1,36689016,36691016,1,THRAP3
chr1,36770993,36772993,2,SH3D21
chr1,36929040,36931040,2,MRPS15
chr1,37498844,37500844,1,GRIK3
chr1,37939118,37941118,2,ZC3H12A
chr1,37979420,37981420,2,MEAF6
chr1,38021519,38023519,3,DNALI1
chr1,38099595,38101595,1,RSPO1
chr1,38229824,38231824,4,EPHA10
chr1,38260159,38262159,1,MANEAL
chr1,38272472,38274472,1,C1orf122
chr1,38272865,38274865,1,YRDC
chr1,38324292,38326292,1,MTF1
chr1,38454782,38456782,2,SF3A3
chr1,38470187,38472187,1,FHL3
chr1,38477383,38479383,2,UTP11
chr1,39324495,39326495,1,RRAGC
chr1,39346298,39348298,1,GJA9
chr1,39394185,39396185,1,RHBDL2
chr1,39455915,39457915,1,AKIRIN1
chr1,39548838,39550838,2,MACF1
chr1,39956317,39958317,1,BMP8A
chr1,40041521,40043521,1,PABPC4
chr1,40136710,40138710,1,NT5C1A
chr1,40203516,40205516,2,PPIE
chr1,40348183,40350183,1,TRIT1
chr1,40419783,40421783,1,MFSD2A
chr1,40505254,40507254,1,CAP1
chr1,40562142,40564142,2,PPT1
chr1,40626040,40628040,1,RLF
chr1,40712572,40714572,1,TMCO2
chr1,40722721,40724721,2,ZMPSTE24
chr1,40781939,40783939,1,COL9A2
chr1,40838377,40840377,1,SMAP2
chr1,40839304,40841304,1,SMAP2
chr1,41130324,41132324,1,RIMS3
chr1,41443970,41445970,3,CTPS1
chr1,41453119,41455119,3,CTPS1
chr1,41486427,41488427,1,SLFNL1
chr1,41626104,41628104,3,SCMH1
chr1,42618091,42620091,2,GUCA2B
chr1,42800548,42802548,1,FOXJ3
chr1,42845467,42847467,1,RIMKLA
chr1,42997690,42999690,1,CCDC30
chr1,43123047,43125047,1,PPIH
chr1,43290248,43292248,2,ERMAP
chr1,43311243,43313243,1,ZNF691
chr1,43612593,43614593,2,FAM183A
chr1,43734664,43736664,2,TMEM125
chr1,43750250,43752250,1,C1orf210
chr1,43750288,43752288,1,C1orf210
chr1,43854483,43856483,1,MED8
chr1,43854555,43856555,1,SZT2
chr1,43990707,43992707,2,PTPRF
chr1,44114796,44116796,1,KDM4A
chr1,44172203,44174203,1,ST3GAL3
chr1,44411477,44413477,1,IPO13
chr1,44434652,44436652,3,DPH2
chr1,44482012,44484012,1,SLC6A9
chr1,44583521,44585521,1,KLF17
chr1,44678124,44680124,1,DMAP1
chr1,44819951,44821951,1,ERI3
chr1,44869831,44871831,1,RNF220
chr1,45240245,45242245,1,RPS8
chr1,45252426,45254426,1,BEST4
chr1,45271957,45273957,2,TCTEX1D4
chr1,45273153,45275153,2,BTBD19
chr1,45451394,45453394,1,EIF2B3
chr1,45476804,45478804,1,UROD
chr1,45791544,45793544,1,HPDL
chr1,45805142,45807142,1,MUTYH
chr1,45955840,45957840,1,TESK2
chr1,45964855,45966855,3,MMACHC
chr1,45986610,45988610,1,PRDX1
chr1,45987562,45989562,1,PRDX1
chr1,46015454,46017454,2,AKR1A1
chr1,46048659,46050659,1,NASP
chr1,46088731,46090731,1,CCDC17
chr1,46151302,46153302,1,GPBP1L1
chr1,46152846,46154846,1,TMEM69
chr1,46215485,46217485,1,IPP
chr1,46597380,46599380,1,PIK3R3
chr1,46597708,46599708,1,PIK3R3
chr1,46639748,46641748,1,TSPAN1
chr1,46668005,46670005,1,LURAP1
chr1,46805849,46807849,1,NSUN4
chr1,46971667,46973667,2,DMBX1
chr1,47068966,47070966,2,MKNK1
chr1,47079805,47081805,1,MOB3C
chr1,47133099,47135099,1,ATPAF1
chr1,47263669,47265669,1,CYP4B1
chr1,47406156,47408156,3,CYP4A11
chr1,47488239,47490239,1,CYP4X1
chr1,47532159,47534159,2,CYP4Z1
chr1,47602096,47604096,3,CYP4A22
chr1,47654771,47656771,2,PDZK1IP1
chr1,47778819,47780819,2,STIL
chr1,47798468,47800468,2,CMPK1
chr1,48461562,48463562,1,TRABD2B
chr1,48687356,48689356,1,SLC5A9
chr1,48936880,48938880,2,SPATA6
chr1,49241641,49243641,1,BEND5
chr1,50488626,50490626,2,AGBL4
chr1,50573591,50575591,3,ELAVL4
chr1,50888119,50890119,1,DMRTA2
chr1,51433366,51435366,1,CDKN2C
chr1,51566899,51568899,3,C1orf185
chr1,51700944,51702944,1,RNF11
chr1,51886793,51888793,3,EPS15
chr1,51983995,51985995,1,EPS15
chr1,52194485,52196485,1,OSBPL9
chr1,52343609,52345609,1,NRDC
chr1,52455436,52457436,1,RAB3B
chr1,52869143,52871143,3,ORC1
chr1,52869218,52871218,3,PRPF38A
chr1,53017762,53019762,3,TUT4
chr1,53163038,53165038,2,COA7
chr1,53191130,53193130,1,ZYG11B
chr1,53307182,53309182,1,ZYG11A
chr1,53386446,53388446,3,ECHDC2
chr1,53526723,53528723,1,PODN
chr1,53607304,53609304,2,SLC1A7
chr1,53661100,53663100,1,CPT2
chr1,53685311,53687311,1,CZIB
chr1,53703282,53705282,1,MAGOH
chr1,53924071,53926071,2,DMRTB1
chr1,54198877,54200877,1,GLIS1
chr1,54410496,54412496,1,HSPB11
chr1,54518111,54520111,1,TMEM59
chr1,54518244,54520244,1,TCEANC2
chr1,54664839,54666839,1,MRPL37
chr1,55012806,55014806,1,ACOT11
chr1,55088200,55090200,1,FAM151A
chr1,55106412,55108412,2,MROH7
chr1,55229226,55231226,1,PARS2
chr1,55270735,55272735,1,LEXM
chr1,55351921,55353921,2,DHCR24
chr1,55445336,55447336,1,TMEM61
chr1,55463616,55465616,2,BSND
chr1,55504148,55506148,2,PCSK9
chr1,57284369,57286369,2,FYB2
chr1,57319442,57321442,1,C8A
chr1,57430813,57432813,5,C8B
chr1,58715219,58717219,2,DAB1
chr1,59042166,59044166,4,TACSTD2
chr1,60538442,60540442,2,C1orf87
chr1,61546979,61548979,3,NFIA
chr1,62190095,62192095,1,TM2D1
chr1,62784083,62786083,4,KANK4
chr1,62784085,62786085,4,KANK4
chr1,62900974,62902974,2,USP1
chr1,63062157,63064157,1,ANGPTL3
chr1,63248776,63250776,3,ATG4C
chr1,63987944,63989944,3,ITGB3BP
chr1,63987971,63989971,3,EFCAB7
chr1,64057946,64059946,2,PGM1
chr1,64087886,64089886,2,PGM1
chr1,64238689,64240689,2,ROR1
chr1,64668300,64670300,3,UBE2U
chr1,65431252,65433252,1,JAK1
chr1,65431619,65433619,1,JAK1
chr1,65774217,65776217,1,DNAJC6
chr1,66257855,66259855,3,PDE4B
chr1,66796790,66798790,2,PDE4B
chr1,67265942,67267942,1,INSL5
chr1,67389570,67391570,2,WDR78
chr1,67389577,67391577,2,MIER1
chr1,67599654,67601654,2,C1orf141
chr1,67772046,67774046,1,IL12RB2
chr1,68298155,68300155,4,GNG12
chr1,68697229,68699229,1,WLS
chr1,68697284,68699284,1,WLS
chr1,68914642,68916642,2,RPE65
chr1,68961904,68963904,2,DEPDC1
chr1,70031867,70033867,2,LRRC7
chr1,70224857,70226857,3,LRRC7
chr1,71512491,71514491,1,PTGER3
chr1,71545972,71547972,2,ZRANB2
chr1,72747277,72749277,4,NEGR1
chr1,74700070,74702070,1,TNNI3K
chr1,75138422,75140422,1,ERICH3
chr1,75197835,75199835,1,TYW3
chr1,75197839,75199839,1,TYW3
chr1,75198092,75200092,2,CRYZ
chr1,75593118,75595118,1,LHX8
chr1,76075799,76077799,5,SLC44A5
chr1,76189031,76191031,3,ACADM
chr1,76250878,76252878,1,RABGGTB
chr1,76261555,76263555,3,MSH4
chr1,76397116,76399116,2,ASB17
chr1,76539368,76541368,3,ST6GALNAC3
chr1,77332092,77334092,3,ST6GALNAC5
chr1,77746661,77748661,3,AK5
chr1,77747286,77749286,1,AK5
chr1,78147343,78149343,2,ZZZ3
chr1,78148112,78150112,1,ZZZ3
chr1,78224564,78226564,1,USP33
chr1,78244308,78246308,3,MIGA1
chr1,78443889,78445889,1,FUBP1
chr1,78444867,78446867,1,DNAJB4
chr1,78510588,78512588,2,GIPC2
chr1,78955727,78957727,2,PTGFR
chr1,79085066,79087066,14,IFI44L
chr1,79114476,79116476,1,IFI44
chr1,79471495,79473495,2,ADGRL4
chr1,82164454,82166454,3,ADGRL2
chr1,82265081,82267081,1,ADGRL2
chr1,84463870,84465870,1,TTLL7
chr1,84608930,84610930,1,PRKACB
chr1,84628866,84630866,1,PRKACB
chr1,84863214,84865214,1,DNASE2B
chr1,84943919,84945919,2,RPF1
chr1,84970983,84972983,1,SPATA1
chr1,84971262,84973262,1,GNG5
chr1,85039163,85041163,2,CTBS
chr1,85155240,85157240,1,SSX2IP
chr1,85461805,85463805,2,MCOLN2
chr1,85513223,85515223,1,MCOLN3
chr1,85526980,85528980,3,WDR63
chr1,85741587,85743587,1,BCL10
chr1,86043046,86045046,3,DDAH1
chr1,86045443,86047443,1,CCN1
chr1,86173116,86175116,2,ZNHIT6
chr1,86621154,86623154,1,COL24A1
chr1,86888565,86890565,2,CLCA2
chr1,86933525,86935525,2,CLCA1
chr1,87011758,87013758,2,CLCA4
chr1,87169252,87171252,1,SH3GLB1
chr1,87677351,87679351,2,LINC02801
chr1,87793150,87795150,3,LMO4
chr1,89148826,89150826,1,PKN2
chr1,89356301,89358301,2,GTF2B
chr1,89457643,89459643,2,KYAT3
chr1,89457643,89459643,2,RBMXL1
chr1,89530043,89532043,1,GBP1
chr1,89590842,89592842,1,GBP2
chr1,89640723,89642723,4,GBP7
chr1,89663633,89665633,3,GBP4
chr1,89737544,89739544,1,GBP5
chr1,89989396,89991396,1,LRRC8B
chr1,90023271,90025271,1,LRRC8B
chr1,90286479,90288479,1,LRRC8D
chr1,90459653,90461653,3,ZNF326
chr1,91181794,91183794,1,BARHL2
chr1,91869426,91871426,2,HFM1
chr1,91965403,91967403,4,CDC7
chr1,92350836,92352836,4,TGFBR3
chr1,92413927,92415927,3,BRDT
chr1,92540029,92542029,2,SETSIP
chr1,92544861,92546861,1,BTBD8
chr1,92633414,92635414,2,KIAA1107
chr1,92682572,92684572,3,C1orf146
chr1,93426079,93428079,1,DIPK1A
chr1,93543791,93545791,1,MTF2
chr1,93645246,93647246,1,TMED5
chr1,93645272,93647272,1,CCDC18
chr1,93810477,93812477,1,DR1
chr1,93912687,93914687,1,FNBP1L
chr1,94311706,94313706,1,BCAR3
chr1,94343762,94345762,1,DNTTIP2
chr1,94374154,94376154,1,GCLM
chr1,94585705,94587705,1,ABCA4
chr1,94702307,94704307,1,ARHGAP29
chr1,94712316,94714316,1,ARHGAP29
chr1,95284897,95286897,2,SLC44A3
chr1,95285099,95287099,2,SLC44A3
chr1,95391779,95393779,1,CNN3
chr1,95537507,95539507,2,ALG14
chr1,95698710,95700710,3,RWDD3
chr1,97186160,97188160,2,PTBP2
chr1,99469449,99471449,1,PLPPR5
chr1,100110430,100112430,1,PALMD
chr1,100230349,100232349,1,FRRS1
chr1,100315044,100317044,1,AGL
chr1,100502788,100504788,2,MFSD14A
chr1,100597651,100599651,1,SASS6
chr1,100597705,100599705,1,TRMT13
chr1,100714409,100716409,2,DBT
chr1,101002727,101004727,1,GPR88
chr1,101184195,101186195,1,VCAM1
chr1,101359735,101361735,1,EXTL2
chr1,101360631,101362631,1,SLC30A7
chr1,101360633,101362633,1,SLC30A7
chr1,101490362,101492362,2,DPH5
chr1,102311636,102313636,5,OLFM3
chr1,103573052,103575052,1,COL11A1
chr1,104067577,104069577,2,RNPC3
chr1,104096265,104098265,2,AMY2B
chr1,104158953,104160953,7,AMY2A
chr1,107598266,107600266,1,PRMT6
chr1,107681539,107683539,1,NTNG1
chr1,108230126,108232126,3,VAV3
chr1,108741980,108743980,3,SLC25A24
chr1,109101970,109103970,1,FAM102B
chr1,109233931,109235931,3,PRPF38B
chr1,109254555,109256555,2,FNDC7
chr1,109398726,109400726,3,AKNAD1
chr1,109418602,109420602,4,GPSM2
chr1,109505121,109507121,3,CLCC1
chr1,109617624,109619624,3,TAF13
chr1,109632362,109634362,3,TMEM167B
chr1,109632402,109634402,3,TMEM167B
chr1,109655479,109657479,2,C1orf194
chr1,109655584,109657584,1,KIAA1324
chr1,109755514,109757514,2,SARS1
chr1,109824790,109826790,1,PSRC1
chr1,109848663,109850663,1,MYBPHL
chr1,109934979,109936979,2,SORT1
chr1,109939567,109941567,1,SORT1
chr1,109968070,109970070,1,PSMA5
chr1,110165609,110167609,1,AMPD2
chr1,110253863,110255863,2,GSTM5
chr1,110282660,110284660,1,GSTM3
chr1,110305644,110307644,3,EPS8L3
chr1,110526386,110528386,2,AHCYL1
chr1,110573198,110575198,1,STRIP1
chr1,110612322,110614322,2,ALX3
chr1,110654061,110656061,1,UBL4B
chr1,110692135,110694135,1,SLC6A17
chr1,110932704,110934704,1,SLC16A4
chr1,110949546,110951546,1,LAMTOR5
chr1,110992787,110994787,3,PROK1
chr1,111060797,111062797,1,KCNA10
chr1,111173096,111175096,1,KCNA2
chr1,111216655,111218655,1,KCNA3
chr1,111414721,111416721,4,CD53
chr1,111681004,111683004,3,CEPT1
chr1,111681784,111683784,3,CEPT1
chr1,111681838,111683838,3,DRAM2
chr1,111742325,111744325,1,DENND2D
chr1,111769280,111771280,4,CHI3L2
chr1,111832473,111834473,5,CHIA
chr1,111888181,111890181,1,PIFO
chr1,111990742,111992742,2,ATP5PB
chr1,111990930,111992930,2,WDR77
chr1,112015490,112017490,2,C1orf162
chr1,112105625,112107625,2,TMIGD3
chr1,112161404,112163404,1,RAP1A
chr1,112297189,112299189,2,DDX20
chr1,113008162,113010162,2,WNT2B
chr1,113215933,113217933,2,MOV10
chr1,113216094,113218094,3,MOV10
chr1,113614791,113616791,2,LRIG2
chr1,114413381,114415381,1,PTPN22
chr1,114429169,114431169,1,BCL2L15
chr1,114470995,114472995,1,HIPK1
chr1,114521012,114523012,1,OLFML3
chr1,114694062,114696062,2,SYT6
chr1,115211732,115213732,2,DENND2C
chr1,115258515,115260515,1,NRAS
chr1,115299671,115301671,3,CSDE1
chr1,115396423,115398423,2,SYCP1
chr1,115571444,115573444,2,TSHB
chr1,115631121,115633121,1,TSPAN2
chr1,116310426,116312426,1,CASQ2
chr1,116382333,116384333,1,NHLH2
chr1,116382747,116384747,2,NHLH2
chr1,116518118,116520118,3,SLC22A15
chr1,117208578,117210578,2,IGSF3
chr1,117209377,117211377,2,IGSF3
chr1,117296051,117298051,2,CD2
chr1,117543371,117545371,4,CD101
chr1,117745458,117747458,3,VTCN1
chr1,117752582,117754582,5,VTCN1
chr1,118147603,118149603,1,TENT5C
chr1,118471302,118473302,1,GDAP2
chr1,118471371,118473371,1,WDR3
chr1,118726892,118728892,2,SPAG17
chr1,119529476,119531476,1,TBX15
chr1,119531179,119533179,2,TBX15
chr1,119682295,119684295,2,WARS2
chr1,119910398,119912398,4,HAO2
chr1,120048825,120050825,1,HSD3B1
chr1,120253418,120255418,2,PHGDH
chr1,120310555,120312555,1,HMGCS2
chr1,120353203,120355203,1,REG4
chr1,120386503,120388503,2,NBPF7
chr1,120838004,120840004,1,FAM72B
chr1,143766881,143768881,2,PPIAL4G
chr1,144592687,144594687,3,NBPF8
chr1,144613958,144615958,2,NBPF9
chr1,144994033,144996033,2,PDE4DIP
chr1,145075186,145077186,1,PDE4DIP
chr1,145095406,145097406,3,SEC22B
chr1,145208112,145210112,1,NOTCH2NLA
chr1,145292370,145294370,3,NBPF10
chr1,145412190,145414190,1,HJV
chr1,145438346,145440346,1,TXNIP
chr1,145469408,145471408,1,POLR3GL
chr1,145469507,145471507,1,ANKRD34A
chr1,145476066,145478066,2,LIX1L
chr1,145506556,145508556,2,RBM8A
chr1,145515559,145517559,1,PEX11B
chr1,145523890,145525890,2,ITGA10
chr1,145548208,145550208,2,ANKRD35
chr1,145574987,145576987,2,PIAS3
chr1,145714639,145716639,2,CD160
chr1,146643168,146645168,1,PRKAB2
chr1,147231714,147233714,1,GJA5
chr1,147244466,147246466,3,GJA5
chr1,147373945,147375945,3,GJA8
chr1,148345756,148347756,2,NBPF14
chr1,148345791,148347791,2,NBPF19
chr1,148345791,148347791,2,NBPF26
chr1,148557187,148559187,5,NBPF15
chr1,148559846,148561846,7,NBPF15
chr1,149753249,149755249,1,FCGR1A
chr1,149782928,149784928,4,H2BC18
chr1,149784236,149786236,5,H3C13
chr1,149857232,149859232,2,H2BC21
chr1,149857524,149859524,2,H2AC20
chr1,149858466,149860466,2,H2AC21
chr1,149899144,149901144,2,SF3B4
chr1,149907266,149909266,2,MTMR11
chr1,149907791,149909791,3,MTMR11
chr1,149981686,149983686,2,OTUD7B
chr1,150038349,150040349,1,VPS45
chr1,150120623,150122623,1,PLEKHO1
chr1,150229137,150231137,2,CA14
chr1,150240609,150242609,2,APH1A
chr1,150243686,150245686,2,C1orf54
chr1,150244182,150246182,2,C1orf54
chr1,150253942,150255942,1,CIART
chr1,150292916,150294916,1,PRPF3
chr1,150458839,150460839,1,TARS2
chr1,150551214,150553214,1,MCL1
chr1,150601098,150603098,3,ENSA
chr1,150692364,150694364,2,HORMAD1
chr1,150737433,150739433,1,CTSS
chr1,150779917,150781917,4,CTSK
chr1,150953498,150955498,1,ANXA9
chr1,150979854,150981854,1,MINDY1
chr1,150979866,150981866,1,PRUNE1
chr1,151031125,151033125,2,CDC42SE1
chr1,151031150,151033150,2,MLLT11
chr1,151128104,151130104,2,TNFAIP8L2
chr1,151170020,151172020,3,PIP5K1A
chr1,151226175,151228175,1,PSMD4
chr1,151226196,151228196,1,PSMD4
chr1,151253787,151255787,3,ZNF687
chr1,151318769,151320769,2,RFX5
chr1,151344210,151346210,2,SELENBP1
chr1,151371040,151373040,2,PSMB4
chr1,151413681,151415681,3,POGZ
