chromosome,start,end,promoter,count,length,s_entropy
chr1,8377144,8379144,chr1:8377144-8379144,2,2001,11.971077692891049
chr1,8876699,8878699,chr1:8876699-8878699,1,2001,11.950102335409232
chr1,9004892,9006892,chr1:9004892-9006892,1,2001,12.18078788709118
chr1,9085404,9087404,chr1:9085404-9087404,1,2001,12.098106464143976
chr1,9351940,9353940,chr1:9351940-9353940,2,2001,11.815052431054708
chr1,9710788,9712788,chr1:9710788-9712788,1,2001,11.922205191708029
chr1,10458048,10460048,chr1:10458048-10460048,2,2001,11.878628136714713
chr1,10508775,10510775,chr1:10508775-10510775,2,2001,12.00000543202189
chr1,10531613,10533613,chr1:10531613-10533613,2,2001,11.991304176663302
chr1,10855733,10857733,chr1:10855733-10857733,1,2001,11.980935839193407
chr1,11071678,11073678,chr1:11071678-11073678,2,2001,11.927410393548056
chr1,11106296,11108296,chr1:11106296-11108296,3,2001,12.091576535945185
chr1,11119091,11121091,chr1:11119091-11121091,1,2001,11.8676855549604
chr1,11158967,11160967,chr1:11158967-11160967,1,2001,11.892218542780723
chr1,11248345,11250345,chr1:11248345-11250345,1,2001,12.20316678621537
chr1,11538294,11540294,chr1:11538294-11540294,1,2001,11.905869307432386
chr1,11713431,11715431,chr1:11713431-11715431,4,2001,11.915406231879315
chr1,11713888,11715888,chr1:11713888-11715888,3,2001,11.922762134902953
chr1,11713913,11715913,chr1:11713913-11715913,3,2001,11.91975747907391
chr1,11821249,11823249,chr1:11821249-11823249,3,2001,12.096378480391747
chr1,11862734,11864734,chr1:11862734-11864734,1,2001,12.162764420681441
chr1,11906840,11908840,chr1:11906840-11908840,1,2001,12.12744066109371
chr1,11917992,11919992,chr1:11917992-11919992,1,2001,12.0259279879079
chr1,11985485,11987485,chr1:11985485-11987485,1,2001,11.835924479684929
chr1,12078298,12080298,chr1:12078298-12080298,1,2001,11.916098210165112
chr1,12122433,12124433,chr1:12122433-12124433,4,2001,11.077330825143388
chr1,12676737,12678737,chr1:12676737-12678737,1,2001,11.860242951864501
chr1,12775117,12777117,chr1:12775117-12777117,1,2001,12.192190473680201
chr1,12805133,12807133,chr1:12805133-12807133,2,2001,12.231941606091732
chr1,12850545,12852545,chr1:12850545-12852545,2,2001,12.228718660553072
chr1,12853842,12855842,chr1:12853842-12855842,1,2001,12.163851119519808
chr1,12890264,12892264,chr1:12890264-12892264,1,2001,12.176251488525567
chr1,12907609,12909609,chr1:12907609-12909609,1,2001,12.108085643418347
chr1,12915940,12917940,chr1:12915940-12917940,4,2001,12.261595482693734
chr1,13515065,13517065,chr1:13515065-13517065,1,2001,12.062531601110578
chr1,13839242,13841242,chr1:13839242-13841242,1,2001,11.898994560203436
chr1,13909251,13911251,chr1:13909251-13911251,2,2001,11.995850151113991
chr1,13910966,13912966,chr1:13910966-13912966,1,2001,12.11284254457658
chr1,15271414,15273414,chr1:15271414-15273414,1,2001,12.116887322052124
chr1,15479228,15481228,chr1:15479228-15481228,1,2001,11.870321964550849
chr1,15735390,15737390,chr1:15735390-15737390,1,2001,11.888966178154723
chr1,15763937,15765937,chr1:15763937-15765937,2,2001,12.073241927463215
chr1,15782222,15784222,chr1:15782222-15784222,4,2001,12.141750508318367
chr1,15801595,15803595,chr1:15801595-15803595,3,2001,12.139416931122996
chr1,15985207,15987207,chr1:15985207-15987207,1,2001,12.234151616652978
chr1,16009797,16011797,chr1:16009797-16011797,2,2001,11.808074564590752
chr1,16133194,16135194,chr1:16133194-16135194,1,2001,12.085139193904578
chr1,16399127,16401127,chr1:16399127-16401127,2,2001,11.95537732057616
chr1,16481604,16483604,chr1:16481604-16483604,1,2001,11.967548867014763
chr1,16677986,16679986,chr1:16677986-16679986,3,2001,11.965966650192213
chr1,16762919,16764919,chr1:16762919-16764919,1,2001,12.13754931029817
chr1,16939100,16941100,chr1:16939100-16941100,2,2001,11.950222666955051
chr1,17089975,17091975,chr1:17089975-17091975,1,2001,12.210625940981172
chr1,17247444,17249444,chr1:17247444-17249444,2,2001,12.169316448580185
chr1,17444948,17446948,chr1:17444948-17446948,1,2001,12.023487400471435
chr1,17574592,17576592,chr1:17574592-17576592,1,2001,12.14438020471437
chr1,17764059,17766059,chr1:17764059-17766059,1,2001,11.831028532941442
chr1,18433239,18435239,chr1:18433239-18435239,1,2001,11.90187926975593
chr1,18806423,18808423,chr1:18806423-18808423,1,2001,12.161567516555504
chr1,18956499,18958499,chr1:18956499-18958499,1,2001,11.906053694363445
chr1,19185155,19187155,chr1:19185155-19187155,3,2001,12.250582485113455
chr1,19216385,19218385,chr1:19216385-19218385,2,2001,12.092950756716007
chr1,19535746,19537746,chr1:19535746-19537746,1,2001,11.946588982808104
chr1,19614280,19616280,chr1:19614280-19616280,3,2001,12.004401034169618
chr1,19637640,19639640,chr1:19637640-19639640,1,2001,11.91211027522685
chr1,19637739,19639739,chr1:19637739-19639739,1,2001,11.906404576005002
chr1,20140771,20142771,chr1:20140771-20142771,1,2001,12.14367539613431
chr1,20207887,20209887,chr1:20207887-20209887,1,2001,11.93795361742887
chr1,20249110,20251110,chr1:20249110-20251110,1,2001,12.156235137354036
chr1,20395700,20397700,chr1:20395700-20397700,1,2001,12.11730399655173
chr1,20502857,20504857,chr1:20502857-20504857,2,2001,12.222410382508375
chr1,20511570,20513570,chr1:20511570-20513570,1,2001,12.087085789829196
chr1,20833674,20835674,chr1:20833674-20835674,1,2001,12.0712721063315
chr1,20877931,20879931,chr1:20877931-20879931,1,2001,11.935430514575962
chr1,20914443,20916443,chr1:20914443-20916443,1,2001,12.165004059075502
chr1,20987037,20989037,chr1:20987037-20989037,1,2001,12.030625968807966
chr1,21043510,21045510,chr1:21043510-21045510,1,2001,11.84057684274356
chr1,21502381,21504381,chr1:21502381-21504381,1,2001,11.727713095408498
chr1,21615982,21617982,chr1:21615982-21617982,1,2001,12.014605573023998
chr1,21834850,21836850,chr1:21834850-21836850,1,2001,11.93307821544466
chr1,22108692,22110692,chr1:22108692-22110692,1,2001,11.891721695918308
chr1,22302386,22304386,chr1:22302386-22304386,3,2001,12.165070074685636
chr1,22969109,22971109,chr1:22969109-22971109,1,2001,12.147735159327429
chr1,23036330,23038330,chr1:23036330-23038330,1,2001,11.854099378143072
chr1,23341343,23343343,chr1:23341343-23343343,2,2001,12.102831454456776
chr1,23494351,23496351,chr1:23494351-23496351,2,2001,11.930062770132068
chr1,23750272,23752272,chr1:23750272-23752272,1,2001,11.841328165657055
chr1,23809750,23811750,chr1:23809750-23811750,1,2001,11.926633121868909
chr1,24017268,24019268,chr1:24017268-24019268,1,2001,12.00778145447369
chr1,24068855,24070855,chr1:24068855-24070855,1,2001,11.883928941110042
chr1,24103875,24105875,chr1:24103875-24105875,1,2001,11.907735935413807
chr1,24116645,24118645,chr1:24116645-24118645,1,2001,12.083558649928644
chr1,24126034,24128034,chr1:24126034-24128034,1,2001,11.931945177452816
chr1,24150949,24152949,chr1:24150949-24152949,2,2001,12.008930491225325
chr1,24238817,24240817,chr1:24238817-24240817,1,2001,12.184319818548381
chr1,24468775,24470775,chr1:24468775-24470775,1,2001,12.173561728252428
chr1,24645055,24647055,chr1:24645055-24647055,2,2001,12.200370920745396
chr1,24648529,24650529,chr1:24648529-24650529,2,2001,12.053382836740987
chr1,24738976,24740976,chr1:24738976-24740976,1,2001,12.04205684531943
chr1,24739262,24741262,chr1:24739262-24741262,1,2001,11.958637256887386
chr1,24741244,24743244,chr1:24741244-24743244,1,2001,11.98754139270759
chr1,24881566,24883566,chr1:24881566-24883566,1,2001,12.03985498135643
chr1,24968593,24970593,chr1:24968593-24970593,2,2001,11.854872326814851
chr1,25070759,25072759,chr1:25070759-25072759,1,2001,11.82360050320453
chr1,25255770,25257770,chr1:25255770-25257770,1,2001,11.76518440785064
chr1,25290501,25292501,chr1:25290501-25292501,1,2001,12.08222593593187
chr1,25756348,25758348,chr1:25756348-25758348,1,2001,11.846655327998226
chr1,26125666,26127666,chr1:26125666-26127666,1,2001,12.006777372802539
chr1,26184949,26186949,chr1:26184949-26186949,2,2001,11.937133187693286
chr1,26196744,26198744,chr1:26196744-26198744,1,2001,12.246682179929572
chr1,26371629,26373629,chr1:26371629-26373629,2,2001,11.941888972401774
chr1,26436655,26438655,chr1:26436655-26438655,2,2001,11.895290595696748
chr1,26437267,26439267,chr1:26437267-26439267,2,2001,11.865733797532682
chr1,26484510,26486510,chr1:26484510-26486510,1,2001,12.27271999056866
chr1,26502980,26504980,chr1:26502980-26504980,1,2001,12.135212571720565
chr1,26632195,26634195,chr1:26632195-26634195,1,2001,12.061599654412428
chr1,26698285,26700285,chr1:26698285-26700285,1,2001,12.169306918910765
chr1,26736258,26738258,chr1:26736258-26738258,1,2001,11.972672723744427
chr1,26797901,26799901,chr1:26797901-26799901,2,2001,11.840506528190224
chr1,26871342,26873342,chr1:26871342-26873342,1,2001,12.13796252018687
chr1,27113453,27115453,chr1:27113453-27115453,1,2001,12.018626641088758
chr1,27113678,27115678,chr1:27113678-27115678,1,2001,12.003219313243452
chr1,27188632,27190632,chr1:27188632-27190632,2,2001,12.092832765050101
chr1,27247212,27249212,chr1:27247212-27249212,1,2001,11.973588264132488
chr1,27285901,27287901,chr1:27285901-27287901,1,2001,12.02725039817463
chr1,27319194,27321194,chr1:27319194-27321194,1,2001,11.858379349339884
chr1,27560006,27562006,chr1:27560006-27562006,1,2001,11.926190689493113
chr1,27929005,27931005,chr1:27929005-27931005,1,2001,11.890814163573555
chr1,27960727,27962727,chr1:27960727-27962727,1,2001,12.008425537192512
chr1,28051489,28053489,chr1:28051489-28053489,1,2001,11.959360535311937
chr1,28098693,28100693,chr1:28098693-28100693,1,2001,12.04574186473928
chr1,28240308,28242308,chr1:28240308-28242308,2,2001,11.967768647314994
chr1,28260465,28262465,chr1:28260465-28262465,1,2001,12.1149902166949
chr1,28284972,28286972,chr1:28284972-28286972,1,2001,11.882368030741949
chr1,28414148,28416148,chr1:28414148-28416148,1,2001,11.900750774532968
chr1,28558542,28560542,chr1:28558542-28560542,1,2001,11.972203529713353
chr1,28561601,28563601,chr1:28561601-28563601,2,2001,11.955266267399304
chr1,28763660,28765660,chr1:28763660-28765660,1,2001,12.239099454320714
chr1,28878528,28880528,chr1:28878528-28880528,1,2001,11.86242154829766
chr1,28968604,28970604,chr1:28968604-28970604,1,2001,12.002191161076832
chr1,28994239,28996239,chr1:28994239-28996239,1,2001,11.923556567910259
chr1,29212602,29214602,chr1:29212602-29214602,1,2001,12.013708823457186
chr1,29449421,29451421,chr1:29449421-29451421,1,2001,11.874672365285049
chr1,29556470,29558470,chr1:29556470-29558470,2,2001,12.069724720842032
chr1,31229683,31231683,chr1:31229683-31231683,1,2001,12.165895591634872
chr1,31845135,31847135,chr1:31845135-31847135,1,2001,12.0677803779069
chr1,32082300,32084300,chr1:32082300-32084300,1,2001,12.013690220810423
chr1,32168768,32170768,chr1:32168768-32170768,3,2001,12.10982007601149
chr1,32228664,32230664,chr1:32228664-32230664,1,2001,11.833477813563743
chr1,32478294,32480294,chr1:32478294-32480294,1,2001,11.89985945383872
chr1,32537499,32539499,chr1:32537499-32539499,1,2001,11.993053264942393
chr1,32664986,32666986,chr1:32664986-32666986,1,2001,12.145184585326275
chr1,32673694,32675694,chr1:32673694-32675694,1,2001,12.185578389772639
chr1,32711817,32713817,chr1:32711817-32713817,1,2001,12.146638897346033
chr1,32800840,32802840,chr1:32800840-32802840,1,2001,11.878200128800627
chr1,32826844,32828844,chr1:32826844-32828844,1,2001,11.92898668564723
chr1,32826861,32828861,chr1:32826861-32828861,1,2001,11.927609335615436
chr1,32859062,32861062,chr1:32859062-32861062,2,2001,12.01953385105745
chr1,33003745,33005745,chr1:33003745-33005745,2,2001,11.94501720366726
chr1,33115191,33117191,chr1:33115191-33117191,1,2001,11.90429556146113
chr1,33351097,33353097,chr1:33351097-33353097,1,2001,12.0228349020916
chr1,33366041,33368041,chr1:33366041-33368041,3,2001,11.963290727237247
chr1,33937231,33939231,chr1:33937231-33939231,2,2001,12.122846332398296
chr1,34325075,34327075,chr1:34325075-34327075,1,2001,12.261728573698162
chr1,34629875,34631875,chr1:34629875-34631875,1,2001,11.9264300077539
chr1,34630443,34632443,chr1:34630443-34632443,1,2001,11.926137813042086
chr1,34631483,34633483,chr1:34631483-34633483,1,2001,12.063549241594565
chr1,34641552,34643552,chr1:34641552-34643552,1,2001,12.042051256341425
chr1,35219647,35221647,chr1:35219647-35221647,1,2001,12.219817095571349
chr1,35245789,35247789,chr1:35245789-35247789,2,2001,12.050782482867572
chr1,35246910,35248910,chr1:35246910-35248910,1,2001,12.065090180087845
chr1,35257598,35259598,chr1:35257598-35259598,3,2001,12.115212745475649
chr1,35323646,35325646,chr1:35323646-35325646,1,2001,12.05663977603149
chr1,35324417,35326417,chr1:35324417-35326417,1,2001,12.054726963821187
chr1,35394186,35396186,chr1:35394186-35396186,1,2001,11.883584551323468
chr1,35524386,35526386,chr1:35524386-35526386,1,2001,12.147246076418575
chr1,35543963,35545963,chr1:35543963-35545963,1,2001,12.00389070688401
chr1,35733567,35735567,chr1:35733567-35735567,1,2001,12.04931990154041
chr1,36183790,36185790,chr1:36183790-36185790,1,2001,11.988227694732235
chr1,36272827,36274827,chr1:36272827-36274827,1,2001,11.797915246525614
chr1,36395682,36397682,chr1:36395682-36397682,1,2001,11.889405844218865
chr1,36553452,36555452,chr1:36553452-36555452,1,2001,11.925335565169096
chr1,36770993,36772993,chr1:36770993-36772993,1,2001,11.973106433544574
chr1,36788249,36790249,chr1:36788249-36790249,1,2001,11.946925791664649
chr1,36788755,36790755,chr1:36788755-36790755,1,2001,12.016206517578869
chr1,36929040,36931040,chr1:36929040-36931040,1,2001,12.025993015399541
chr1,36947915,36949915,chr1:36947915-36949915,2,2001,12.173077132447732
chr1,37498844,37500844,chr1:37498844-37500844,1,2001,11.830576923885317
chr1,37979420,37981420,chr1:37979420-37981420,1,2001,11.934316903949771
chr1,38018945,38020945,chr1:38018945-38020945,1,2001,12.06189758812535
chr1,38021519,38023519,chr1:38021519-38023519,1,2001,12.086461707915545
chr1,38324292,38326292,chr1:38324292-38326292,1,2001,12.018309770163432
chr1,38396463,38398463,chr1:38396463-38398463,1,2001,11.98556679441278
chr1,38411729,38413729,chr1:38411729-38413729,1,2001,12.199978772136015
chr1,38454782,38456782,chr1:38454782-38456782,3,2001,11.85336317968245
chr1,39346298,39348298,chr1:39346298-39348298,1,2001,12.116401647014397
chr1,39406502,39408502,chr1:39406502-39408502,2,2001,12.160118046359933
chr1,39455915,39457915,chr1:39455915-39457915,2,2001,12.002303917040372
chr1,39490966,39492966,chr1:39490966-39492966,2,2001,11.916293943490887
chr1,39548838,39550838,chr1:39548838-39550838,1,2001,12.176879933864425
chr1,39956317,39958317,chr1:39956317-39958317,1,2001,11.788035044150384
chr1,40104348,40106348,chr1:40104348-40106348,1,2001,11.984019590741314
chr1,40136710,40138710,chr1:40136710-40138710,2,2001,12.015031659009194
chr1,40156157,40158157,chr1:40156157-40158157,1,2001,12.040836169027374
chr1,40156382,40158382,chr1:40156382-40158382,1,2001,12.000596084148118
chr1,40236020,40238020,chr1:40236020-40238020,1,2001,11.925598466863837
chr1,40253533,40255533,chr1:40253533-40255533,1,2001,11.80590840313322
chr1,40348183,40350183,chr1:40348183-40350183,1,2001,12.026940454084526
chr1,40419783,40421783,chr1:40419783-40421783,1,2001,11.993887077950832
chr1,40505254,40507254,chr1:40505254-40507254,1,2001,11.981536637287906
chr1,40712572,40714572,chr1:40712572-40714572,1,2001,12.229435129187605
chr1,40781939,40783939,chr1:40781939-40783939,1,2001,11.997999554828679
chr1,40942301,40944301,chr1:40942301-40944301,1,2001,11.938320026143014
chr1,40973390,40975390,chr1:40973390-40975390,1,2001,12.007031166034954
chr1,41130324,41132324,chr1:41130324-41132324,1,2001,12.056546586583002
chr1,41327018,41329018,chr1:41327018-41329018,1,2001,11.872262455635763
chr1,41626104,41628104,chr1:41626104-41628104,1,2001,12.233212939265039
chr1,41826602,41828602,chr1:41826602-41828602,2,2001,11.838504293888628
chr1,41949354,41951354,chr1:41949354-41951354,1,2001,12.168449713060863
chr1,42383378,42385378,chr1:42383378-42385378,1,2001,11.994072692794191
chr1,42618091,42620091,chr1:42618091-42620091,2,2001,12.184617248663738
chr1,42997690,42999690,chr1:42997690-42999690,1,2001,12.142882920517032
chr1,43123047,43125047,chr1:43123047-43125047,1,2001,12.02677672505531
chr1,43204925,43206925,chr1:43204925-43206925,1,2001,12.151012712414744
chr1,43750250,43752250,chr1:43750250-43752250,1,2001,12.140606947658362
chr1,43750288,43752288,chr1:43750288-43752288,1,2001,12.139807430051587
chr1,43765565,43767565,chr1:43765565-43767565,1,2001,12.159988919701188
chr1,43802474,43804474,chr1:43802474-43804474,3,2001,12.20956735950198
chr1,43823625,43825625,chr1:43823625-43825625,1,2001,12.00518067150257
chr1,43854483,43856483,chr1:43854483-43856483,1,2001,12.063225180392939
chr1,43854555,43856555,chr1:43854555-43856555,1,2001,12.063057239906954
chr1,43990707,43992707,chr1:43990707-43992707,3,2001,12.142792220431453
chr1,44114796,44116796,chr1:44114796-44116796,1,2001,12.022629738103461
chr1,44172167,44174167,chr1:44172167-44174167,1,2001,11.897607162960812
chr1,44172203,44174203,chr1:44172203-44174203,1,2001,11.899408637059569
chr1,44397991,44399991,chr1:44397991-44399991,1,2001,12.129408662318404
chr1,44482012,44484012,chr1:44482012-44484012,1,2001,12.059328322077565
chr1,44496164,44498164,chr1:44496164-44498164,1,2001,11.970355697959489
chr1,44583521,44585521,chr1:44583521-44585521,4,2001,12.074471063047076
chr1,44869831,44871831,chr1:44869831-44871831,2,2001,11.997307759288393
chr1,45204489,45206489,chr1:45204489-45206489,2,2001,12.018192019672018
chr1,45252426,45254426,chr1:45252426-45254426,1,2001,12.170910436959803
chr1,45271957,45273957,chr1:45271957-45273957,1,2001,12.139280780416849
chr1,45476804,45478804,chr1:45476804-45478804,1,2001,12.086666467978018
chr1,45791544,45793544,chr1:45791544-45793544,1,2001,11.915938079829761
chr1,45987562,45989562,chr1:45987562-45989562,2,2001,11.931398244647566
chr1,46048659,46050659,chr1:46048659-46050659,1,2001,11.939339278636503
chr1,46151302,46153302,chr1:46151302-46153302,1,2001,11.911262476803266
chr1,46152846,46154846,chr1:46152846-46154846,3,2001,12.047117588075501
chr1,46639748,46641748,chr1:46639748-46641748,1,2001,12.19561554545188
chr1,46641167,46643167,chr1:46641167-46643167,2,2001,12.160646297951601
chr1,46768038,46770038,chr1:46768038-46770038,1,2001,11.932657335788415
chr1,46768284,46770284,chr1:46768284-46770284,1,2001,11.950157257036924
chr1,46858938,46860938,chr1:46858938-46860938,1,2001,11.980532553135191
chr1,46971667,46973667,chr1:46971667-46973667,1,2001,12.184695370015499
chr1,47133099,47135099,chr1:47133099-47135099,2,2001,12.009106557294766
chr1,47406156,47408156,chr1:47406156-47408156,1,2001,12.275277578709204
chr1,47488239,47490239,chr1:47488239-47490239,2,2001,12.052167618943802
chr1,47532159,47534159,chr1:47532159-47534159,1,2001,12.257333126706438
chr1,47602096,47604096,chr1:47602096-47604096,4,2001,12.262435522038285
chr1,47654771,47656771,chr1:47654771-47656771,1,2001,12.191925226206013
chr1,47696387,47698387,chr1:47696387-47698387,1,2001,11.89785304488134
chr1,47697007,47699007,chr1:47697007-47699007,1,2001,11.949692986326651
chr1,47880743,47882743,chr1:47880743-47882743,2,2001,11.893487611861913
chr1,48687356,48689356,chr1:48687356-48689356,1,2001,12.234007645483128
chr1,48936880,48938880,chr1:48936880-48938880,1,2001,11.995185018671537
chr1,49241641,49243641,chr1:49241641-49243641,1,2001,12.009688825347723
chr1,50488626,50490626,chr1:50488626-50490626,2,2001,12.06611441152618
chr1,50888119,50890119,chr1:50888119-50890119,1,2001,11.912460092559922
chr1,51700944,51702944,chr1:51700944-51702944,1,2001,11.98285536114676
chr1,51786940,51788940,chr1:51786940-51788940,1,2001,12.165444789024956
chr1,51983995,51985995,chr1:51983995-51985995,1,2001,11.978474058872099
chr1,52194485,52196485,chr1:52194485-52196485,1,2001,12.012883596457366
chr1,52343609,52345609,chr1:52343609-52345609,1,2001,11.972208561631298
chr1,52830877,52832877,chr1:52830877-52832877,1,2001,11.937917616788901
chr1,53067042,53069042,chr1:53067042-53069042,3,2001,11.965231924422307
chr1,53098015,53100015,chr1:53098015-53100015,1,2001,11.967174766757598
chr1,53191130,53193130,chr1:53191130-53193130,1,2001,11.97975828035081
chr1,53386446,53388446,chr1:53386446-53388446,1,2001,11.952305961347749
chr1,53526723,53528723,chr1:53526723-53528723,1,2001,11.976070524904932
chr1,53607304,53609304,chr1:53607304-53609304,2,2001,12.15035811616891
chr1,53685311,53687311,chr1:53685311-53687311,1,2001,12.028810745174448
chr1,53703282,53705282,chr1:53703282-53705282,1,2001,12.005476846936746
chr1,53792821,53794821,chr1:53792821-53794821,1,2001,11.847502026666321
chr1,53924071,53926071,chr1:53924071-53926071,1,2001,11.980685058755075
chr1,54410496,54412496,chr1:54410496-54412496,1,2001,11.787752329599696
chr1,54617854,54619854,chr1:54617854-54619854,1,2001,12.1728815384639
chr1,55012806,55014806,chr1:55012806-55014806,1,2001,12.152714436201789
chr1,55106412,55108412,chr1:55106412-55108412,3,2001,12.282777439553088
chr1,55270735,55272735,chr1:55270735-55272735,2,2001,12.14049350285464
chr1,55351921,55353921,chr1:55351921-55353921,1,2001,11.939434052340633
chr1,55445336,55447336,chr1:55445336-55447336,1,2001,11.956766397244248
chr1,57109989,57111989,chr1:57109989-57111989,1,2001,11.920573951672008
chr1,57319442,57321442,chr1:57319442-57321442,1,2001,12.261349358033653
chr1,57430813,57432813,chr1:57430813-57432813,1,2001,12.186145557467821
chr1,58715219,58717219,chr1:58715219-58717219,1,2001,12.000282069093148
chr1,59164747,59166747,chr1:59164747-59166747,1,2001,12.051505025700779
chr1,60538442,60540442,chr1:60538442-60540442,1,2001,12.124435355058651
chr1,62190095,62192095,chr1:62190095-62192095,1,2001,12.080732526478966
chr1,62659473,62661473,chr1:62659473-62661473,2,2001,11.839879918098326
chr1,62784083,62786083,chr1:62784083-62786083,1,2001,11.921418543441519
chr1,62784085,62786085,chr1:62784085-62786085,1,2001,11.921209749887044
chr1,63153039,63155039,chr1:63153039-63155039,2,2001,11.80581042703767
chr1,63248776,63250776,chr1:63248776-63250776,1,2001,11.992654713104143
chr1,64087886,64089886,chr1:64087886-64089886,1,2001,12.225121018222698
chr1,64238689,64240689,chr1:64238689-64240689,1,2001,11.867175965801483
chr1,64668300,64670300,chr1:64668300-64670300,2,2001,12.124407327732643
chr1,64970596,64972596,chr1:64970596-64972596,1,2001,11.97553070401784
chr1,65612512,65614512,chr1:65612512-65614512,1,2001,11.873454002892206
chr1,65612849,65614849,chr1:65612849-65614849,1,2001,11.83515410035146
chr1,65774217,65776217,chr1:65774217-65776217,1,2001,11.972000499534596
chr1,66257855,66259855,chr1:66257855-66259855,3,2001,11.944020210982663
chr1,66796790,66798790,chr1:66796790-66798790,1,2001,12.214810313278132
chr1,66998638,67000638,chr1:66998638-67000638,2,2001,12.035256513958853
chr1,67265942,67267942,chr1:67265942-67267942,2,2001,12.207583802059458
chr1,67895123,67897123,chr1:67895123-67897123,1,2001,11.877881205269254
chr1,68149859,68151859,chr1:68149859-68151859,2,2001,11.949172374509121
chr1,68516314,68518314,chr1:68516314-68518314,2,2001,12.078791163920378
chr1,70031867,70033867,chr1:70031867-70033867,1,2001,11.917152526700487
chr1,70224857,70226857,chr1:70224857-70226857,1,2001,12.16605867498855
chr1,70670361,70672361,chr1:70670361-70672361,1,2001,12.038293022188164
chr1,70670364,70672364,chr1:70670364-70672364,1,2001,12.03829098289288
