chromosome,start,end,count,length
chr1,6303251,6305251,0,2001
chr1,6320035,6322035,0,2001
chr1,6452826,6454826,0,2001
chr1,6478979,6480979,0,2001
chr1,6483847,6485847,1,2001
chr1,6525255,6527255,0,2001
chr1,6550761,6552761,1,2001
chr1,6556484,6558484,1,2001
chr1,6613658,6615658,0,2001
chr1,6614337,6616337,0,2001
chr1,6639050,6641050,1,2001
chr1,6661958,6663958,1,2001
chr1,6672755,6674755,1,2001
chr1,6684209,6686209,0,2001
chr1,6760966,6762966,2,2001
chr1,6844383,6846383,0,2001
chr1,7830328,7832328,0,2001
chr1,7843488,7845488,0,2001
chr1,7912104,7914104,0,2001
chr1,8002225,8004225,0,2001
chr1,8020713,8022713,0,2001
chr1,8085393,8087393,1,2001
chr1,8377144,8379144,1,2001
chr1,8876699,8878699,2,2001
chr1,8938151,8940151,1,2001
chr1,9004892,9006892,2,2001
chr1,9085404,9087404,0,2001
chr1,9128887,9130887,2,2001
chr1,9188229,9190229,1,2001
chr1,9293862,9295862,0,2001
chr1,9298902,9300902,1,2001
chr1,9351940,9353940,0,2001
chr1,9598527,9600527,0,2001
chr1,9647931,9649931,0,2001
chr1,9710788,9712788,1,2001
chr1,9748602,9750602,0,2001
chr1,9883584,9885584,0,2001
chr1,9969316,9971316,1,2001
chr1,10001980,10003980,1,2001
chr1,10002485,10004485,1,2001
chr1,10056254,10058254,1,2001
chr1,10092040,10094040,1,2001
chr1,10458048,10460048,1,2001
chr1,10489158,10491158,1,2001
chr1,10489803,10491803,0,2001
chr1,10508775,10510775,1,2001
chr1,10531613,10533613,0,2001
chr1,10534002,10536002,1,2001
chr1,10855733,10857733,0,2001
chr1,11041094,11043094,1,2001
chr1,11071678,11073678,0,2001
chr1,11106296,11108296,1,2001
chr1,11119091,11121091,1,2001
chr1,11158967,11160967,0,2001
chr1,11248345,11250345,1,2001
chr1,11321608,11323608,2,2001
chr1,11332254,11334254,0,2001
chr1,11538294,11540294,0,2001
chr1,11713431,11715431,0,2001
chr1,11713888,11715888,0,2001
chr1,11713913,11715913,0,2001
chr1,11723149,11725149,1,2001
chr1,11740271,11742271,0,2001
chr1,11750678,11752678,0,2001
chr1,11750780,11752780,0,2001
chr1,11795141,11797141,0,2001
chr1,11821249,11823249,1,2001
chr1,11862734,11864734,0,2001
chr1,11865152,11867152,0,2001
chr1,11865160,11867160,0,2001
chr1,11906840,11908840,0,2001
chr1,11917992,11919992,2,2001
chr1,11985485,11987485,1,2001
chr1,11993723,11995723,1,2001
chr1,12039237,12041237,1,2001
chr1,12078298,12080298,0,2001
chr1,12122433,12124433,1,2001
chr1,12226059,12228059,1,2001
chr1,12289095,12291095,0,2001
chr1,12675788,12677788,1,2001
chr1,12676737,12678737,0,2001
chr1,12703565,12705565,0,2001
chr1,12775117,12777117,0,2001
chr1,12805133,12807133,1,2001
chr1,12833990,12835990,1,2001
chr1,12850545,12852545,0,2001
chr1,12853842,12855842,0,2001
chr1,12890264,12892264,4,2001
chr1,12907157,12909157,0,2001
chr1,12907235,12909235,0,2001
chr1,12907609,12909609,0,2001
chr1,12915940,12917940,5,2001
chr1,12945025,12947025,0,2001
chr1,12975466,12977466,0,2001
chr1,13001353,13003353,0,2001
chr1,13006406,13008406,0,2001
chr1,13034498,13036498,0,2001
chr1,13034542,13036542,0,2001
chr1,13111702,13113702,0,2001
chr1,13116751,13118751,0,2001
chr1,13183326,13185326,0,2001
chr1,13330671,13332671,0,2001
chr1,13358818,13360818,0,2001
chr1,13358832,13360832,0,2001
chr1,13363885,13365885,0,2001
chr1,13389748,13391748,0,2001
chr1,13408127,13410127,0,2001
chr1,13408134,13410134,0,2001
chr1,13420175,13422175,0,2001
chr1,13423002,13425002,0,2001
chr1,13451656,13453656,0,2001
chr1,13476569,13478569,0,2001
chr1,13494257,13496257,0,2001
chr1,13515065,13517065,0,2001
chr1,13610533,13612533,0,2001
chr1,13628924,13630924,0,2001
chr1,13628931,13630931,0,2001
chr1,13640972,13642972,0,2001
chr1,13643799,13645799,0,2001
chr1,13672511,13674511,0,2001
chr1,13697405,13699405,0,2001
chr1,13715091,13717091,0,2001
chr1,13735906,13737906,0,2001
chr1,13839242,13841242,1,2001
chr1,13909251,13911251,3,2001
chr1,13910966,13912966,3,2001
chr1,14030349,14032349,2,2001
chr1,14074875,14076875,1,2001
chr1,15271414,15273414,2,2001
chr1,15478027,15480027,0,2001
chr1,15479228,15481228,0,2001
chr1,15497120,15499120,1,2001
chr1,15572720,15574720,0,2001
chr1,15735390,15737390,0,2001
chr1,15763937,15765937,1,2001
chr1,15782222,15784222,5,2001
chr1,15801595,15803595,0,2001
chr1,15849940,15851940,0,2001
chr1,15850285,15852285,1,2001
chr1,15852307,15854307,1,2001
chr1,15910605,15912605,3,2001
chr1,15942952,15944952,0,2001
chr1,15985207,15987207,1,2001
chr1,16009797,16011797,1,2001
chr1,16061808,16063808,0,2001
chr1,16067986,16069986,0,2001
chr1,16089993,16091993,0,2001
chr1,16133194,16135194,2,2001
chr1,16173358,16175358,1,2001
chr1,16301627,16303627,1,2001
chr1,16329730,16331730,0,2001
chr1,16344285,16346285,0,2001
chr1,16345089,16347089,1,2001
chr1,16347485,16349485,1,2001
chr1,16369230,16371230,1,2001
chr1,16399127,16401127,1,2001
chr1,16481604,16483604,3,2001
chr1,16538166,16540166,0,2001
chr1,16562659,16564659,0,2001
chr1,16677986,16679986,0,2001
chr1,16692524,16694524,0,2001
chr1,16762919,16764919,3,2001
chr1,16766166,16768166,0,2001
chr1,16939100,16941100,7,2001
chr1,17089975,17091975,5,2001
chr1,17247444,17249444,1,2001
chr1,17306173,17308173,0,2001
chr1,17307081,17309081,2,2001
chr1,17337467,17339467,1,2001
chr1,17379665,17381665,1,2001
chr1,17444948,17446948,0,2001
chr1,17530620,17532620,0,2001
chr1,17574592,17576592,1,2001
chr1,17633689,17635689,2,2001
chr1,17697690,17699690,1,2001
chr1,17764059,17766059,1,2001
chr1,17765250,17767250,0,2001
chr1,17865329,17867329,0,2001
chr1,17906047,17908047,1,2001
chr1,18080807,18082807,2,2001
chr1,18433239,18435239,2,2001
chr1,18806423,18808423,2,2001
chr1,18956499,18958499,0,2001
chr1,19185155,19187155,1,2001
chr1,19216385,19218385,2,2001
chr1,19281826,19283826,0,2001
chr1,19535746,19537746,1,2001
chr1,19577053,19579053,0,2001
chr1,19577074,19579074,0,2001
chr1,19614280,19616280,0,2001
chr1,19637640,19639640,0,2001
chr1,19637739,19639739,0,2001
chr1,19811135,19813135,0,2001
chr1,19922470,19924470,2,2001
chr1,19969207,19971207,0,2001
chr1,19969666,19971666,0,2001
chr1,19990779,19992779,0,2001
chr1,20125514,20127514,1,2001
chr1,20140771,20142771,2,2001
chr1,20207887,20209887,0,2001
chr1,20249110,20251110,0,2001
chr1,20305932,20307932,0,2001
chr1,20395700,20397700,2,2001
chr1,20445059,20447059,0,2001
chr1,20464822,20466822,0,2001
chr1,20502857,20504857,1,2001
chr1,20511570,20513570,0,2001
chr1,20616411,20618411,1,2001
chr1,20811728,20813728,0,2001
chr1,20833674,20835674,0,2001
chr1,20877931,20879931,0,2001
chr1,20914443,20916443,0,2001
chr1,20958947,20960947,0,2001
chr1,20987037,20989037,0,2001
chr1,21043510,21045510,1,2001
chr1,21058133,21060133,1,2001
chr1,21112181,21114181,0,2001
chr1,21436876,21438876,1,2001
chr1,21502381,21504381,0,2001
chr1,21605183,21607183,0,2001
chr1,21615982,21617982,0,2001
chr1,21765582,21767582,0,2001
chr1,21834850,21836850,0,2001
chr1,21994873,21996873,1,2001
chr1,22108692,22110692,2,2001
chr1,22137757,22139757,0,2001
chr1,22262790,22264790,0,2001
chr1,22302386,22304386,1,2001
chr1,22327148,22329148,2,2001
chr1,22378119,22380119,3,2001
chr1,22468519,22470519,0,2001
chr1,22777343,22779343,2,2001
chr1,22888994,22890994,0,2001
chr1,22961998,22963998,1,2001
chr1,22969109,22971109,0,2001
chr1,22978473,22980473,1,2001
chr1,23036330,23038330,0,2001
chr1,23290923,23292923,3,2001
chr1,23341343,23343343,1,2001
chr1,23344940,23346940,2,2001
chr1,23494351,23496351,0,2001
chr1,23520222,23522222,1,2001
chr1,23669857,23671857,0,2001
chr1,23693879,23695879,0,2001
chr1,23695357,23697357,0,2001
chr1,23750272,23752272,0,2001
chr1,23809750,23811750,0,2001
chr1,23856712,23858712,1,2001
chr1,23885285,23887285,1,2001
chr1,23952823,23954823,1,2001
chr1,24017268,24019268,2,2001
chr1,24068855,24070855,1,2001
chr1,24103875,24105875,2,2001
chr1,24116645,24118645,0,2001
chr1,24126034,24128034,1,2001
chr1,24150949,24152949,2,2001
chr1,24193859,24195859,1,2001
chr1,24238817,24240817,0,2001
chr1,24285300,24287300,0,2001
chr1,24305953,24307953,0,2001
chr1,24437665,24439665,0,2001
chr1,24468775,24470775,0,2001
chr1,24512765,24514765,1,2001
chr1,24645055,24647055,3,2001
chr1,24648529,24650529,3,2001
chr1,24738976,24740976,3,2001
chr1,24739262,24741262,3,2001
chr1,24740587,24742587,1,2001
chr1,24741244,24743244,2,2001
chr1,24828386,24830386,1,2001
chr1,24881566,24883566,0,2001
chr1,24968593,24970593,1,2001
chr1,25070759,25072759,0,2001
chr1,25255770,25257770,0,2001
chr1,25290501,25292501,1,2001
chr1,25558013,25560013,2,2001
chr1,25573010,25575010,0,2001
chr1,25597976,25599976,1,2001
chr1,25663745,25665745,0,2001
chr1,25663788,25665788,0,2001
chr1,25746405,25748405,0,2001
chr1,25756348,25758348,0,2001
chr1,25869075,25871075,0,2001
chr1,25942958,25944958,0,2001
chr1,26125666,26127666,0,2001
chr1,26145396,26147396,1,2001
chr1,26145683,26147683,0,2001
chr1,26184949,26186949,3,2001
chr1,26196744,26198744,0,2001
chr1,26231993,26233993,1,2001
chr1,26323648,26325648,3,2001
chr1,26347270,26349270,0,2001
chr1,26371629,26373629,1,2001
chr1,26393125,26395125,0,2001
chr1,26436655,26438655,0,2001
chr1,26437267,26439267,0,2001
chr1,26484510,26486510,1,2001
chr1,26495387,26497387,0,2001
chr1,26502980,26504980,0,2001
chr1,26516118,26518118,3,2001
chr1,26559643,26561643,2,2001
chr1,26605212,26607212,2,2001
chr1,26632195,26634195,1,2001
chr1,26643410,26645410,1,2001
chr1,26643756,26645756,1,2001
chr1,26679621,26681621,1,2001
chr1,26698285,26700285,3,2001
chr1,26736258,26738258,0,2001
chr1,26757772,26759772,1,2001
chr1,26797901,26799901,0,2001
chr1,26855248,26857248,1,2001
chr1,26871342,26873342,0,2001
chr1,27021523,27023523,0,2001
chr1,27113453,27115453,0,2001
chr1,27113678,27115678,0,2001
chr1,27152200,27154200,0,2001
chr1,27188632,27190632,0,2001
chr1,27215869,27217869,0,2001
chr1,27225962,27227962,1,2001
chr1,27239567,27241567,4,2001
chr1,27247212,27249212,0,2001
chr1,27285901,27287901,1,2001
chr1,27319194,27321194,0,2001
chr1,27338333,27340333,1,2001
chr1,27480621,27482621,1,2001
chr1,27560006,27562006,0,2001
chr1,27647635,27649635,2,2001
chr1,27667482,27669482,1,2001
chr1,27692357,27694357,0,2001
chr1,27700343,27702343,2,2001
chr1,27708823,27710823,0,2001
chr1,27718147,27720147,0,2001
chr1,27815698,27817698,0,2001
chr1,27929005,27931005,0,2001
chr1,27952106,27954106,1,2001
chr1,27960727,27962727,0,2001
chr1,27997724,27999724,1,2001
chr1,28051489,28053489,1,2001
chr1,28098693,28100693,1,2001
chr1,28156251,28158251,0,2001
chr1,28156324,28158324,0,2001
chr1,28198053,28200053,1,2001
chr1,28240308,28242308,0,2001
chr1,28260465,28262465,1,2001
chr1,28284972,28286972,0,2001
chr1,28414148,28416148,2,2001
chr1,28502455,28504455,1,2001
chr1,28558542,28560542,2,2001
chr1,28561601,28563601,0,2001
chr1,28584962,28586962,1,2001
chr1,28654512,28656512,2,2001
chr1,28695064,28697064,1,2001
chr1,28763660,28765660,0,2001
chr1,28843744,28845744,3,2001
chr1,28878528,28880528,1,2001
chr1,28917711,28919711,1,2001
chr1,28918006,28920006,1,2001
chr1,28968604,28970604,0,2001
chr1,28994239,28996239,0,2001
chr1,29062135,29064135,1,2001
chr1,29062451,29064451,0,2001
chr1,29137653,29139653,2,2001
chr1,29212602,29214602,0,2001
chr1,29449421,29451421,0,2001
chr1,29507637,29509637,2,2001
chr1,29556470,29558470,0,2001
chr1,29562027,29564027,1,2001
chr1,31195432,31197432,1,2001
chr1,31229683,31231683,2,2001
chr1,31380480,31382480,0,2001
chr1,31537564,31539564,3,2001
chr1,31711734,31713734,0,2001
chr1,31768644,31770644,2,2001
chr1,31768828,31770828,3,2001
chr1,31845135,31847135,3,2001
chr1,31882020,31884020,1,2001
chr1,31885659,31887659,0,2001
chr1,32041085,32043085,0,2001
chr1,32082300,32084300,0,2001
chr1,32109838,32111838,0,2001
chr1,32168768,32170768,1,2001
chr1,32228664,32230664,1,2001
chr1,32280652,32282652,0,2001
chr1,32384259,32386259,0,2001
chr1,32402988,32404988,1,2001
chr1,32478294,32480294,0,2001
chr1,32536631,32538631,0,2001
chr1,32537499,32539499,0,2001
chr1,32572643,32574643,1,2001
chr1,32644344,32646344,0,2001
chr1,32664986,32666986,1,2001
chr1,32670235,32672235,0,2001
chr1,32673694,32675694,1,2001
chr1,32686184,32688184,0,2001
chr1,32686972,32688972,1,2001
chr1,32711817,32713817,0,2001
chr1,32715839,32717839,0,2001
chr1,32738711,32740711,2,2001
chr1,32756707,32758707,1,2001
chr1,32800840,32802840,1,2001
chr1,32826844,32828844,0,2001
chr1,32826861,32828861,0,2001
chr1,32859062,32861062,1,2001
chr1,32929657,32931657,0,2001
chr1,33003745,33005745,0,2001
chr1,33115191,33117191,1,2001
chr1,33115748,33117748,1,2001
chr1,33167361,33169361,1,2001
chr1,33230234,33232234,0,2001
chr1,33282042,33284042,4,2001
chr1,33282118,33284118,4,2001
chr1,33282633,33284633,3,2001
chr1,33335414,33337414,1,2001
chr1,33351097,33353097,1,2001
chr1,33366041,33368041,1,2001
chr1,33429414,33431414,2,2001
chr1,33501512,33503512,2,2001
chr1,33545713,33547713,1,2001
chr1,33641151,33643151,1,2001
chr1,33646671,33648671,0,2001
chr1,33721173,33723173,0,2001
chr1,33785699,33787699,1,2001
chr1,33840194,33842194,0,2001
chr1,33937231,33939231,0,2001
chr1,34325075,34327075,2,2001
chr1,34328677,34330677,0,2001
chr1,34629875,34631875,0,2001
chr1,34630443,34632443,0,2001
chr1,34631483,34633483,1,2001
chr1,34641552,34643552,2,2001
chr1,35219647,35221647,0,2001
chr1,35224341,35226341,2,2001
chr1,35245789,35247789,1,2001
chr1,35246910,35248910,3,2001
chr1,35257598,35259598,1,2001
chr1,35323646,35325646,1,2001
chr1,35324417,35326417,1,2001
chr1,35394186,35396186,1,2001
chr1,35449948,35451948,0,2001
chr1,35496569,35498569,2,2001
chr1,35524386,35526386,1,2001
chr1,35543963,35545963,1,2001
chr1,35657743,35659743,0,2001
chr1,35733567,35735567,1,2001
chr1,36022037,36024037,1,2001
chr1,36022392,36024392,1,2001
chr1,36037970,36039970,0,2001
chr1,36106152,36108152,0,2001
chr1,36106445,36108445,0,2001
chr1,36181512,36183512,1,2001
chr1,36183790,36185790,0,2001
chr1,36234551,36236551,0,2001
chr1,36272827,36274827,1,2001
chr1,36347795,36349795,1,2001
chr1,36395682,36397682,1,2001
chr1,36548675,36550675,3,2001
chr1,36553452,36555452,0,2001
chr1,36589685,36591685,1,2001
chr1,36614115,36616115,1,2001
chr1,36620565,36622565,0,2001
chr1,36689012,36691012,1,2001
chr1,36689016,36691016,1,2001
chr1,36770993,36772993,2,2001
chr1,36771707,36773707,0,2001
chr1,36788249,36790249,0,2001
chr1,36788755,36790755,0,2001
chr1,36850528,36852528,0,2001
chr1,36862560,36864560,0,2001
chr1,36915086,36917086,0,2001
chr1,36929040,36931040,2,2001
chr1,36947915,36949915,0,2001
chr1,37498844,37500844,1,2001
chr1,37939118,37941118,2,2001
chr1,37979420,37981420,2,2001
chr1,38018945,38020945,0,2001
chr1,38021519,38023519,3,2001
chr1,38060586,38062586,0,2001
chr1,38099595,38101595,1,2001
chr1,38155267,38157267,0,2001
chr1,38157072,38159072,0,2001
chr1,38229824,38231824,4,2001
chr1,38258773,38260773,0,2001
chr1,38260159,38262159,1,2001
chr1,38272472,38274472,1,2001
chr1,38272865,38274865,1,2001
chr1,38324292,38326292,1,2001
chr1,38396463,38398463,0,2001
chr1,38411729,38413729,0,2001
chr1,38454782,38456782,2,2001
chr1,38470187,38472187,1,2001
chr1,38477383,38479383,2,2001
chr1,38511450,38513450,0,2001
chr1,39324495,39326495,1,2001
chr1,39338050,39340050,0,2001
chr1,39346298,39348298,1,2001
chr1,39394185,39396185,1,2001
chr1,39406502,39408502,0,2001
chr1,39455915,39457915,1,2001
chr1,39490966,39492966,0,2001
chr1,39548838,39550838,2,2001
chr1,39874175,39876175,0,2001
chr1,39956317,39958317,1,2001
chr1,40041521,40043521,1,2001
chr1,40104348,40106348,0,2001
chr1,40136710,40138710,1,2001
chr1,40156157,40158157,0,2001
chr1,40156382,40158382,0,2001
chr1,40203516,40205516,2,2001
chr1,40236020,40238020,0,2001
chr1,40253533,40255533,0,2001
chr1,40348183,40350183,1,2001
chr1,40366687,40368687,0,2001
chr1,40419783,40421783,1,2001
chr1,40505254,40507254,1,2001
chr1,40562142,40564142,2,2001
chr1,40626040,40628040,1,2001
chr1,40712572,40714572,1,2001
chr1,40722721,40724721,2,2001
chr1,40781939,40783939,1,2001
chr1,40838377,40840377,1,2001
chr1,40839304,40841304,1,2001
chr1,40915336,40917336,0,2001
chr1,40942301,40944301,0,2001
chr1,40973390,40975390,0,2001
chr1,40996232,40998232,0,2001
chr1,41130324,41132324,1,2001
chr1,41156241,41158241,0,2001
chr1,41248683,41250683,0,2001
chr1,41327018,41329018,0,2001
chr1,41443970,41445970,3,2001
chr1,41453119,41455119,3,2001
chr1,41486427,41488427,1,2001
chr1,41626104,41628104,3,2001
chr1,41826602,41828602,0,2001
chr1,41949354,41951354,0,2001
chr1,42383378,42385378,0,2001
chr1,42618091,42620091,2,2001
chr1,42629395,42631395,0,2001
chr1,42799903,42801903,0,2001
chr1,42800548,42802548,1,2001
chr1,42845467,42847467,1,2001
chr1,42920938,42922938,0,2001
chr1,42921164,42923164,0,2001
chr1,42997690,42999690,1,2001
chr1,43123047,43125047,1,2001
chr1,43146905,43148905,0,2001
chr1,43204925,43206925,0,2001
chr1,43231755,43233755,0,2001
chr1,43231915,43233915,0,2001
chr1,43249702,43251702,0,2001
chr1,43281775,43283775,0,2001
chr1,43282059,43284059,0,2001
chr1,43290248,43292248,2,2001
chr1,43311243,43313243,1,2001
chr1,43423847,43425847,0,2001
chr1,43612593,43614593,2,2001
chr1,43637000,43639000,0,2001
chr1,43637241,43639241,0,2001
chr1,43734664,43736664,2,2001
chr1,43750250,43752250,1,2001
chr1,43750288,43752288,1,2001
chr1,43765565,43767565,0,2001
chr1,43802474,43804474,0,2001
chr1,43823625,43825625,0,2001
chr1,43832409,43834409,0,2001
chr1,43832745,43834745,0,2001
chr1,43854483,43856483,1,2001
chr1,43854555,43856555,1,2001
chr1,43918660,43920660,0,2001
chr1,43990707,43992707,2,2001
chr1,44114796,44116796,1,2001
chr1,44172167,44174167,0,2001
chr1,44172203,44174203,1,2001
chr1,44397991,44399991,0,2001
chr1,44411477,44413477,1,2001
chr1,44434652,44436652,3,2001
chr1,44439319,44441319,0,2001
chr1,44443873,44445873,0,2001
chr1,44445176,44447176,0,2001
chr1,44456267,44458267,0,2001
chr1,44482012,44484012,1,2001
chr1,44496164,44498164,0,2001
chr1,44583521,44585521,1,2001
chr1,44678124,44680124,1,2001
chr1,44819951,44821951,1,2001
chr1,44869831,44871831,1,2001
chr1,45139280,45141280,0,2001
chr1,45139393,45141393,0,2001
chr1,45204489,45206489,0,2001
chr1,45240245,45242245,1,2001
chr1,45252426,45254426,1,2001
chr1,45264896,45266896,0,2001
chr1,45271957,45273957,2,2001
chr1,45273153,45275153,2,2001
chr1,45307616,45309616,0,2001
chr1,45451394,45453394,1,2001
chr1,45476027,45478027,0,2001
chr1,45476804,45478804,1,2001
chr1,45671250,45673250,0,2001
chr1,45791544,45793544,1,2001
chr1,45804341,45806341,0,2001
chr1,45805142,45807142,1,2001
chr1,45955840,45957840,1,2001
chr1,45964855,45966855,3,2001
chr1,45986610,45988610,1,2001
chr1,45987562,45989562,1,2001
chr1,46015454,46017454,2,2001
chr1,46048659,46050659,1,2001
chr1,46088731,46090731,1,2001
chr1,46151302,46153302,1,2001
chr1,46152846,46154846,1,2001
chr1,46215485,46217485,1,2001
chr1,46268284,46270284,0,2001
chr1,46597380,46599380,1,2001
chr1,46597708,46599708,1,2001
chr1,46639748,46641748,1,2001
chr1,46641167,46643167,0,2001
chr1,46663121,46665121,0,2001
chr1,46668005,46670005,1,2001
chr1,46684977,46686977,0,2001
chr1,46712366,46714366,0,2001
chr1,46768038,46770038,0,2001
chr1,46768284,46770284,0,2001
chr1,46804848,46806848,0,2001
chr1,46805849,46807849,1,2001
chr1,46858938,46860938,0,2001
chr1,46971667,46973667,2,2001
chr1,47015887,47017887,0,2001
chr1,47068966,47070966,2,2001
chr1,47079805,47081805,1,2001
chr1,47133099,47135099,1,2001
chr1,47136504,47138504,0,2001
chr1,47183736,47185736,0,2001
chr1,47263669,47265669,1,2001
chr1,47406156,47408156,3,2001
chr1,47426035,47428035,0,2001
chr1,47488239,47490239,1,2001
chr1,47532159,47534159,2,2001
chr1,47602096,47604096,3,2001
chr1,47654771,47656771,2,2001
chr1,47696387,47698387,0,2001
chr1,47697007,47699007,0,2001
chr1,47778819,47780819,2,2001
chr1,47798468,47800468,2,2001
chr1,47880743,47882743,0,2001
chr1,47900688,47902688,0,2001
chr1,48461562,48463562,1,2001
chr1,48687356,48689356,1,2001
chr1,48936880,48938880,2,2001
chr1,49241641,49243641,1,2001
chr1,50488626,50490626,2,2001
chr1,50573591,50575591,3,2001
chr1,50888119,50890119,1,2001
chr1,51424936,51426936,0,2001
chr1,51433366,51435366,1,2001
chr1,51566899,51568899,3,2001
chr1,51700944,51702944,1,2001
chr1,51786940,51788940,0,2001
chr1,51886793,51888793,3,2001
chr1,51983995,51985995,1,2001
chr1,52194485,52196485,1,2001
chr1,52343609,52345609,1,2001
chr1,52455436,52457436,1,2001
chr1,52498472,52500472,0,2001
chr1,52520843,52522843,0,2001
chr1,52520856,52522856,0,2001
chr1,52606765,52608765,0,2001
chr1,52830877,52832877,0,2001
chr1,52869143,52871143,3,2001
chr1,52869218,52871218,3,2001
chr1,53017762,53019762,3,2001
chr1,53067042,53069042,0,2001
chr1,53098015,53100015,0,2001
chr1,53163038,53165038,2,2001
chr1,53191130,53193130,1,2001
chr1,53307182,53309182,1,2001
chr1,53386446,53388446,3,2001
chr1,53391900,53393900,0,2001
chr1,53526723,53528723,1,2001
chr1,53607304,53609304,2,2001
chr1,53661100,53663100,1,2001
chr1,53685311,53687311,1,2001
chr1,53703282,53705282,1,2001
chr1,53792821,53794821,0,2001
chr1,53924071,53926071,2,2001
chr1,54198877,54200877,1,2001
chr1,54303225,54305225,0,2001
chr1,54354487,54356487,0,2001
chr1,54358859,54360859,0,2001
chr1,54410496,54412496,1,2001
chr1,54410981,54412981,0,2001
chr1,54410998,54412998,0,2001
chr1,54482859,54484859,0,2001
chr1,54518111,54520111,1,2001
chr1,54518244,54520244,1,2001
chr1,54617854,54619854,0,2001
chr1,54664774,54666774,0,2001
chr1,54664839,54666839,1,2001
chr1,54871068,54873068,0,2001
chr1,55012806,55014806,1,2001
chr1,55088200,55090200,1,2001
chr1,55106412,55108412,2,2001
chr1,55180494,55182494,0,2001
chr1,55229226,55231226,1,2001
chr1,55265941,55267941,0,2001
chr1,55270735,55272735,1,2001
chr1,55351921,55353921,2,2001
chr1,55445336,55447336,1,2001
chr1,55463616,55465616,2,2001
chr1,55504148,55506148,2,2001
chr1,55680039,55682039,0,2001
chr1,57044257,57046257,0,2001
chr1,57109989,57111989,0,2001
chr1,57284369,57286369,2,2001
chr1,57319442,57321442,1,2001
chr1,57430813,57432813,5,2001
chr1,58715219,58717219,2,2001
chr1,59011471,59013471,0,2001
chr1,59042166,59044166,4,2001
chr1,59164747,59166747,0,2001
chr1,59248785,59250785,0,2001
chr1,59761624,59763624,0,2001
chr1,60279532,60281532,0,2001
chr1,60391470,60393470,0,2001
chr1,60538442,60540442,2,2001
chr1,61546979,61548979,3,2001
chr1,62190095,62192095,1,2001
chr1,62207137,62209137,0,2001
